# y_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,1.975380015558976083e+02,1.976022331489755857e+02,1.975701173524365970e+02,3.211579653898866127e-02,1.957092778760581098e+02,1.974150022182720647e+02,1.968858372319140244e+02,2.891305294627752875e+00
1.000000000000000021e-02,1.975824015483135838e+02,1.976413394291766963e+02,1.976118704887451258e+02,2.946894043155623422e-02,1.951370381939200627e+02,1.974594019719565097e+02,1.965532873332349482e+02,1.300915806856725476e+00
2.000000000000000042e-02,1.976268015407497955e+02,1.976804457096085343e+02,1.976536236251791649e+02,2.682208442936939718e-02,1.953516825641604271e+02,1.975038017401833201e+02,1.966897942214048669e+02,1.405423446349780559e+00
2.999999999999999889e-02,1.976672015642542135e+02,1.977141492676446433e+02,1.976906754159494426e+02,2.347385169521487569e-02,1.954815812531518020e+02,1.975448016523570516e+02,1.968085934622255024e+02,1.552738439616240473e+00
4.000000000000000083e-02,1.977036016195237949e+02,1.977454557048601487e+02,1.977245286621919718e+02,2.092704266817690950e-02,1.956114703043579937e+02,1.975824016980378701e+02,1.969271140277214158e+02,1.788256762470954664e+00
5.000000000000000278e-02,1.977400016757425192e+02,1.977731468477659007e+02,1.977565742617542242e+02,1.657258601169075973e-02,1.955717153197904565e+02,1.976976286944880030e+02,1.970109498863073725e+02,2.090842198585245004e+00
5.999999999999999778e-02,1.977672018103747291e+02,1.977962336483705599e+02,1.977817177293726445e+02,1.451591899791537799e-02,1.955319433013503101e+02,1.979394781116996569e+02,1.970666414372410316e+02,2.277257077573576982e+00
7.000000000000000666e-02,1.977944019501887567e+02,1.978170774470824824e+02,1.978057396986356196e+02,1.133774844686286087e-02,1.953422198802615810e+02,1.981582985202652765e+02,1.970867369211428013e+02,2.467509912280358098e+00
8.000000000000000167e-02,1.978162021529566346e+02,1.978308265657904030e+02,1.978235143593735188e+02,7.312206416884237115e-03,1.951524647419516327e+02,1.982886080172223728e+02,1.970870039067381754e+02,2.590111051199655012e+00
8.999999999999999667e-02,1.978326024270945993e+02,1.978436526084853710e+02,1.978381275177899852e+02,5.525090695385870276e-03,1.949326820782127072e+02,1.982186943501682208e+02,1.970391007860602599e+02,2.497197509858308351e+00
1.000000000000000056e-01,1.978474261449697167e+02,1.978490027176310377e+02,1.978482144313003914e+02,7.882863306605258913e-04,1.947128899003744493e+02,1.981503086034174146e+02,1.969903013735625734e+02,2.420209533692332382e+00
