# x_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,1.414557512752698720e+01,1.477210100288136729e+01,1.450830181482075965e+01,1.807923269031563029e-01,1.124936952792829459e+01,1.533069245973430483e+01,1.432852889281185327e+01,9.713312545690058197e-01
2.999999999999999889e-02,1.353184432702090589e+01,1.406754587220321184e+01,1.384299475260530166e+01,1.598065106650812250e-01,1.070477652154645831e+01,1.459676673552557702e+01,1.368871916092442120e+01,9.385138911807056061e-01
4.000000000000000083e-02,1.300008056593228467e+01,1.340371408180567414e+01,1.324805680407534858e+01,1.217436271501272232e-01,1.024628480551014142e+01,1.393624273632901378e+01,1.310357811932511929e+01,8.950130432720005969e-01
5.000000000000000278e-02,1.260628107421758060e+01,1.286208507360850639e+01,1.272156454699611672e+01,7.547457567737161921e-02,9.788847115845021207e+00,1.333998185148701054e+01,1.256830305380281310e+01,8.703202924613173685e-01
5.999999999999999778e-02,1.216104309079748624e+01,1.236769855946265473e+01,1.227252396172448634e+01,6.039154869121846070e-02,9.427192622810427025e+00,1.279954456110621486e+01,1.209908889638811758e+01,8.331077960609650779e-01
7.000000000000000666e-02,1.173203208136323639e+01,1.209903425389875053e+01,1.186817743216940357e+01,1.039537050892528486e-01,9.079477564267145695e+00,1.235137018702544509e+01,1.168128712239997924e+01,8.091889209021984053e-01
8.000000000000000167e-02,1.133607965334860701e+01,1.184393334611981174e+01,1.148929191385864534e+01,1.509270259247876278e-01,8.757657311071943340e+00,1.192846833087131841e+01,1.128681801468830770e+01,7.847589108585862894e-01
8.999999999999999667e-02,1.100225435433526044e+01,1.153366900388059690e+01,1.113507814331000034e+01,1.657027319529292830e-01,8.492485380754802193e+00,1.158061992607200530e+01,1.094175271970174457e+01,7.591587894797352520e-01
1.000000000000000056e-01,1.066816884676449284e+01,1.115953051164104792e+01,1.079015673193556246e+01,1.552732156153918686e-01,8.227348351725440878e+00,1.123271724447210396e+01,1.061117943077134029e+01,7.389322322996334513e-01
1.100000000000000006e-01,1.039185457892233444e+01,1.080736954100070690e+01,1.049389070361665866e+01,1.309084434262573482e-01,8.010729987521875373e+00,1.094881791730961140e+01,1.032733658977742230e+01,7.172396377234405707e-01
1.199999999999999956e-01,1.013546028260662091e+01,1.039131868486318488e+01,1.021275869575031869e+01,7.918756598816482917e-02,7.811077725536081928e+00,1.066496635941909510e+01,1.006829281913841534e+01,6.979815307949926995e-01
1.300000000000000044e-01,9.890049364797814491e+00,9.994253209746597477e+00,9.936975633610975578e+00,3.119083544855161955e-02,7.621462769924552738e+00,1.043671645354495503e+01,9.826230403591477369e+00,6.825920683676244272e-01
1.400000000000000133e-01,9.568114877285850639e+00,9.759398852174379968e+00,9.697686803428039681e+00,5.878660658984494886e-02,7.477729824055761476e+00,1.020846564890512731e+01,9.614028783771781050e+00,6.611022615874579955e-01
1.499999999999999944e-01,9.236184388271498236e+00,9.539584325963826217e+00,9.477538402380867311e+00,9.986258501841697999e-02,7.333825833219637325e+00,1.002936545379935751e+01,9.420394201676034029e+00,6.470889069017610185e-01
1.600000000000000033e-01,8.950093808409990359e+00,9.405144313737251238e+00,9.300440200660904821e+00,1.461475959836014138e-01,7.220966403131528821e+00,9.850265090801565648e+00,9.259623698581915363e+00,6.316251807069852564e-01
1.700000000000000122e-01,8.843555135565733138e+00,9.285744132872906675e+00,9.170794608524916569e+00,1.376735959914198726e-01,7.129123068341290725e+00,9.715465579734663848e+00,9.128999096983639205e+00,6.198712926998312112e-01
1.799999999999999933e-01,8.742488828358865760e+00,9.166343952009322393e+00,9.046626626733662135e+00,1.294176334722206834e-01,7.039735161414709452e+00,9.580714668422444902e+00,9.002134966432684848e+00,6.084480723092960952e-01
1.900000000000000022e-01,8.756747999100062074e+00,9.046943771146530366e+00,8.962226191868175817e+00,9.178658325416778896e-02,6.996238579918341749e+00,9.486665416472165546e+00,8.907545616235875485e+00,5.935701400097543878e-01
2.000000000000000111e-01,8.818733140942780935e+00,8.932510889018198341e+00,8.893054009178005259e+00,4.395928390455100532e-02,6.954327927278232124e+00,9.392564377280359977e+00,8.820439817345045341e+00,5.802520037445146883e-01
2.099999999999999922e-01,8.750865857022287031e+00,8.894907541238367799e+00,8.845533320598519822e+00,4.502318438017482299e-02,6.930618180269516593e+00,9.336063746686233955e+00,8.758254212856845911e+00,5.696365874211870572e-01
2.200000000000000011e-01,8.699599460747220903e+00,8.902578226796299177e+00,8.808525487817838950e+00,6.711334637677518478e-02,6.926067112541832493e+00,9.279514200390881484e+00,8.703720609852716450e+00,5.556500733360776323e-01
2.300000000000000100e-01,8.655764950961943427e+00,8.945778641155509803e+00,8.778364681481731324e+00,9.379487311339732014e-02,6.919515331475428965e+00,9.256415151727152235e+00,8.662063367473683329e+00,5.475292551073701608e-01
2.399999999999999911e-01,8.593310814114573759e+00,8.871928812876682002e+00,8.745098461459919648e+00,9.225800523412344689e-02,6.917214044838622122e+00,9.233314111761226073e+00,8.632981657571905387e+00,5.411690251738346946e-01
2.500000000000000000e-01,8.528791231064680289e+00,8.797344116460742214e+00,8.714387487611320537e+00,9.121384680273543488e-02,6.915672246015440727e+00,9.233364664447298864e+00,8.611034034331661147e+00,5.386055599376021741e-01
2.600000000000000089e-01,8.528819846307115426e+00,8.801578066539498479e+00,8.707349605662141556e+00,9.420894165756023286e-02,6.914522190897955056e+00,9.233364109936529118e+00,8.614414155393449235e+00,5.401466331779237739e-01
2.700000000000000178e-01,8.514399465650352994e+00,8.829635443147877183e+00,8.705934865462488403e+00,1.195999301098812917e-01,6.912336575943388794e+00,9.256515151563464272e+00,8.634459921175986707e+00,5.465691302765610660e-01
2.800000000000000266e-01,8.377317881933983301e+00,8.862271492192814293e+00,8.712209208331461952e+00,1.620806168310133244e-01,6.909469295529913957e+00,9.279614198488481236e+00,8.658347489732191704e+00,5.539683825894770042e-01
2.899999999999999800e-01,8.351689077924667970e+00,8.894907541238383786e+00,8.757286242265459819e+00,1.798711273251142329e-01,6.926240701959147650e+00,9.336165349451347240e+00,8.716663135704674659e+00,5.636737846993165046e-01
2.999999999999999889e-01,8.331437542453127065e+00,8.942244355440010395e+00,8.816644560004904818e+00,2.024588129872448850e-01,6.948080334599298524e+00,9.392714380550277298e+00,8.790903852589346812e+00,5.759681702330788911e-01
3.099999999999999978e-01,8.450096910191483346e+00,9.046943771146533919e+00,8.918517225662398573e+00,1.947199944848253261e-01,6.982594904085559939e+00,9.486765419886854289e+00,8.889651333246193943e+00,5.945443049801528712e-01
3.200000000000000067e-01,8.701069404890628078e+00,9.173010310602196071e+00,9.059061661281209155e+00,1.520496012258397700e-01,7.050356311692435263e+00,9.580864673442789581e+00,9.006841918496443000e+00,6.093721268496313792e-01
