# x_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,1.427641734880374713e+01,1.482502141229541692e+01,1.459809286843324827e+01,1.687973915813716363e-01,1.110072158229618289e+01,2.874061913162018200e+01,1.645515826636848189e+01,4.895976056553618783e+00
2.999999999999999889e-02,1.425762247364310120e+01,1.480809335134038029e+01,1.458044400810661578e+01,1.692779201720448490e-01,1.106213447040172149e+01,2.860954063953169069e+01,1.640319550680331062e+01,4.868242410191495395e+00
4.000000000000000083e-02,1.423882823055837576e+01,1.479121228115964115e+01,1.456104761662756175e+01,1.696398944380080875e-01,1.102348427520196772e+01,2.847681503435486761e+01,1.635034250714750215e+01,4.840110143955096866e+00
5.000000000000000278e-02,1.422003462205576341e+01,1.477437836282688721e+01,1.453870578979810269e+01,1.694661542688201405e-01,1.098334687430959100e+01,2.834508606409457698e+01,1.629657443684002871e+01,4.812535647717592902e+00
5.999999999999999778e-02,1.420124165065464084e+01,1.474279896994206140e+01,1.451298135074052631e+01,1.658991583281030913e-01,1.094309685967882295e+01,2.821478497574334909e+01,1.624160495138893623e+01,4.785862957161338471e+00
7.000000000000000666e-02,1.418244931888764881e+01,1.471124227251092265e+01,1.448377923121918087e+01,1.618593126142541805e-01,1.089995911976279075e+01,2.808021538321900934e+01,1.618410054312800028e+01,4.758359429868930235e+00
8.000000000000000167e-02,1.416365762930078809e+01,1.467970841689745676e+01,1.445349389997996070e+01,1.577194782000411466e-01,1.085660923752928753e+01,2.794298719455054680e+01,1.612530965082002865e+01,4.730269636975050318e+00
8.999999999999999667e-02,1.412608349550059827e+01,1.464819755061959583e+01,1.441834206715794409e+01,1.593540422860229011e-01,1.080885960879575158e+01,2.780194035047586709e+01,1.606371418619922053e+01,4.701970065017823330e+00
1.000000000000000056e-01,1.407911793392102773e+01,1.461670982235933991e+01,1.437938601851858778e+01,1.634377668665941974e-01,1.076138381627799845e+01,2.765647186534866364e+01,1.600023566674115472e+01,4.672492769347777575e+00
1.100000000000000006e-01,1.403215238328169256e+01,1.457634164504145424e+01,1.433823432804939735e+01,1.653892783690432133e-01,1.070938458064934906e+01,2.750983895264891288e+01,1.593361812422250701e+01,4.644065175798535172e+00
1.199999999999999956e-01,1.398518684369281573e+01,1.453597505655704936e+01,1.429503648568303475e+01,1.671779992696113271e-01,1.065768306637428964e+01,2.736153797398311127e+01,1.586542832050351137e+01,4.615502469124895590e+00
1.300000000000000044e-01,1.393822131526609986e+01,1.449561007017961423e+01,1.425130607115850090e+01,1.688600433912489374e-01,1.060289338898969014e+01,2.721578290503822117e+01,1.579643300375991544e+01,4.588384675281597325e+00
1.400000000000000133e-01,1.389125579811475930e+01,1.445524669933037742e+01,1.420714759004473215e+01,1.705424057694739925e-01,1.054779446902437812e+01,2.708016003303010777e+01,1.572859807005323241e+01,4.564719070811170454e+00
1.499999999999999944e-01,1.384429029235354847e+01,1.441488495758034105e+01,1.416267971838060191e+01,1.722059238161716688e-01,1.049247123311817909e+01,2.695171317420063417e+01,1.566168699451452717e+01,4.543477371110832053e+00
1.600000000000000033e-01,1.379732479809878321e+01,1.437967922582344116e+01,1.411952481732491371e+01,1.751498485864739774e-01,1.043743062645358499e+01,2.683025450968611025e+01,1.559746097640593909e+01,4.523948727919677282e+00
1.700000000000000122e-01,1.375681060051837790e+01,1.434448273409821439e+01,1.407899398885034792e+01,1.763799657860138093e-01,1.038679014495394881e+01,2.673963182881302103e+01,1.553972395768892234e+01,4.513293925406900442e+00
1.799999999999999933e-01,1.372919934180642976e+01,1.430929555058761693e+01,1.404105746910126129e+01,1.738296894274977133e-01,1.033596666147057874e+01,2.664393772765965807e+01,1.548245084528648263e+01,4.500846486590607043e+00
1.900000000000000022e-01,1.370158863268370020e+01,1.427411774412879986e+01,1.400605055826112100e+01,1.712828221441723697e-01,1.029443881965221586e+01,2.657312515488277427e+01,1.543402602837181448e+01,4.493959190667466963e+00
2.000000000000000111e-01,1.367397847647940168e+01,1.423894938422073331e+01,1.397338867026423515e+01,1.693474561815300761e-01,1.025286518854760054e+01,2.651260924709715638e+01,1.538920350723520869e+01,4.489830420493022167e+00
2.099999999999999922e-01,1.364636887654963893e+01,1.422481195291224942e+01,1.394679709489284924e+01,1.726318416805614764e-01,1.022437974466544475e+01,2.646893958866570884e+01,1.535601242530282562e+01,4.486729920310025044e+00
2.200000000000000011e-01,1.361875983627764519e+01,1.421071816878840011e+01,1.392559478696444408e+01,1.764526558358766040e-01,1.019583891678518306e+01,2.643544275818312173e+01,1.532927040686276321e+01,4.485661006584957811e+00
2.300000000000000100e-01,1.359115135907408956e+01,1.419666816184180647e+01,1.390616337212082243e+01,1.804900839758375175e-01,1.018212502670887609e+01,2.640630066176828805e+01,1.530779456303139696e+01,4.483055169333990619e+00
2.399999999999999911e-01,1.356354344837732917e+01,1.418266206217560566e+01,1.389314221599315857e+01,1.842118993375258529e-01,1.016848799567965678e+01,2.639248421753189788e+01,1.529512008016722646e+01,4.483424272244202591e+00
2.500000000000000000e-01,1.353593610765371125e+01,1.416869999999999941e+01,1.388376888040409263e+01,1.891897739745053153e-01,1.016968761622315043e+01,2.638067702269643533e+01,1.528782480785101328e+01,4.481431639396317834e+00
2.600000000000000089e-01,1.355975421243061696e+01,1.418266206217425029e+01,1.389174141684435426e+01,1.854058838647190677e-01,1.017086253763815584e+01,2.637808622800295311e+01,1.529077717557153804e+01,4.479475192031983077e+00
2.700000000000000178e-01,1.358357282113291653e+01,1.419666816183977787e+01,1.390590458108609972e+01,1.825035583771190129e-01,1.018722555906415472e+01,2.639329741501128268e+01,1.530312244256921694e+01,4.479471238272885181e+00
2.800000000000000266e-01,1.360739193111437473e+01,1.421071816878637506e+01,1.392197234781745863e+01,1.799368965014861710e-01,1.020371258765957734e+01,2.640264401024577268e+01,1.531739164463068725e+01,4.476927973250598214e+00
2.899999999999999800e-01,1.363121153974719135e+01,1.422481195291089939e+01,1.394443507707315177e+01,1.769054710703791833e-01,1.023553756601540066e+01,2.644596313883859651e+01,1.534485582270758641e+01,4.481025430460523040e+00
2.999999999999999889e-01,1.365503164442185025e+01,1.423894938422073331e+01,1.396958697032844832e+01,1.748701264273478662e-01,1.026743805469656756e+01,2.649782764946073144e+01,1.537670354151339680e+01,4.486864056603955042e+00
3.099999999999999978e-01,1.367885224254695409e+01,1.427411774412879986e+01,1.400147065351927722e+01,1.779903587119697761e-01,1.031273755733958986e+01,2.656897070000360372e+01,1.542046561092587176e+01,4.494619937381435726e+00
3.200000000000000067e-01,1.370267333154908052e+01,1.430929555058761871e+01,1.403662616879221225e+01,1.816221751783517468e-01,1.035798882416671240e+01,2.665847392771766522e+01,1.547143887628490688e+01,4.507001420480243326e+00
