# x_hat,full-stokes min,full-stokes max,full-stokes mean,higher-order min,higher-order max,higher-order mean
1.300000000000000044e-01,1.598180409634104571e+01,1.599244100402948732e+01,1.598990042383720223e+01,4.145541011487074101e+00,1.626955988764801830e+01,1.211182600058653414e+01
1.400000000000000133e-01,1.598186408432418304e+01,1.599249900440192107e+01,1.598995650711953864e+01,4.145812761603281160e+00,1.626777801162836923e+01,1.211227921756709236e+01
1.499999999999999944e-01,1.598192407231171508e+01,1.599254000635363226e+01,1.599000494000623007e+01,4.146103809097960280e+00,1.626611858004049793e+01,1.211279735121407164e+01
1.600000000000000033e-01,1.598194406428467573e+01,1.599255000002655258e+01,1.599003125999712438e+01,4.146389544127902838e+00,1.626449022042806192e+01,1.211327059262051620e+01
1.700000000000000122e-01,1.598196405626056560e+01,1.599252800125311857e+01,1.599004045079230707e+01,4.146669830251258126e+00,1.626315091627609277e+01,1.211367232863891097e+01
1.799999999999999933e-01,1.598198404823937757e+01,1.599248700181945360e+01,1.599004295485344151e+01,4.146942735884223907e+00,1.626180427915875271e+01,1.211407355847347844e+01
1.900000000000000022e-01,1.598200404022111343e+01,1.599247500250022647e+01,1.599003533723387172e+01,4.147211745482235479e+00,1.626076761711557594e+01,1.211430889496224239e+01
2.000000000000000111e-01,1.598202403220577494e+01,1.599247500443187064e+01,1.599002650771675427e+01,4.147474165900766785e+00,1.625985944124503035e+01,1.211450626588582047e+01
2.099999999999999922e-01,1.598200403021935223e+01,1.599247500095511043e+01,1.599000450856030398e+01,4.147717709948805620e+00,1.625904154503551169e+01,1.211471592576758027e+01
2.200000000000000011e-01,1.598198402823409481e+01,1.599247500187727766e+01,1.598997816111025827e+01,4.147950548194071274e+00,1.625850519696174601e+01,1.211492697432615984e+01
2.300000000000000100e-01,1.598196402624999735e+01,1.599247500029511926e+01,1.598995411781468512e+01,4.148168346643572590e+00,1.625796552406380258e+01,1.211512124000718238e+01
2.399999999999999911e-01,1.598194402426706873e+01,1.599247499999052557e+01,1.598994959259703741e+01,4.148386155967017430e+00,1.625777464547153528e+01,1.211550420034125963e+01
2.500000000000000000e-01,1.598192402228530185e+01,1.599247500034811686e+01,1.598994801046347902e+01,4.148584302173561333e+00,1.625765673296503522e+01,1.211592117749685649e+01
2.600000000000000089e-01,1.598194402426706873e+01,1.599249099738246471e+01,1.598996026687721894e+01,4.148770931724624411e+00,1.625771491965170057e+01,1.211638511205817892e+01
2.700000000000000178e-01,1.598196402624999912e+01,1.599253199785239232e+01,1.598998400332273562e+01,4.148951858234266155e+00,1.625805366891064452e+01,1.211693655426582517e+01
2.800000000000000266e-01,1.598198402823409481e+01,1.599257299851742786e+01,1.599001420784437322e+01,4.149115111313733451e+00,1.625839669791695030e+01,1.211747143893467715e+01
2.899999999999999800e-01,1.598200403021935223e+01,1.599257500216165440e+01,1.599003269021423534e+01,4.149261959987140536e+00,1.625912939258623169e+01,1.211792366698671763e+01
2.999999999999999889e-01,1.598202403220577494e+01,1.599257500139392718e+01,1.599005658436823829e+01,4.149391583883475398e+00,1.625987088879685771e+01,1.211835470972832951e+01
3.099999999999999978e-01,1.598200404022111343e+01,1.599257500057985126e+01,1.599006245782456404e+01,4.149518951844879844e+00,1.626079092018408545e+01,1.211870422472264153e+01
3.200000000000000067e-01,1.598198404823937757e+01,1.599257499997449372e+01,1.599005520530125146e+01,4.149633282441735460e+00,1.626188232583347570e+01,1.211895374705947148e+01
3.300000000000000155e-01,1.598196405626056560e+01,1.599257200148853109e+01,1.599004419628527884e+01,4.149735193645616604e+00,1.626301975484695816e+01,1.211926014873986901e+01
3.400000000000000244e-01,1.598194406428467573e+01,1.599253100121434379e+01,1.599001300075941323e+01,4.149824501447473502e+00,1.626451359400679308e+01,1.211958890819660795e+01
3.500000000000000333e-01,1.598192407231171508e+01,1.599249000262248543e+01,1.598998079614171175e+01,4.149905929655948178e+00,1.626600782462864814e+01,1.211990570130870637e+01
3.599999999999999867e-01,1.598186408432418304e+01,1.599242401041471417e+01,1.598993213038125916e+01,4.149985892426366618e+00,1.626772223961889452e+01,1.212038665265832549e+01
3.699999999999999956e-01,1.598180409634104748e+01,1.599238300565463433e+01,1.598988383695546212e+01,4.150046918145608998e+00,1.626955323324657954e+01,1.212094440935933903e+01
3.800000000000000044e-01,1.598174410836231552e+01,1.599233400311516817e+01,1.598983299602136832e+01,4.150108255782862798e+00,1.627144567911636841e+01,1.212152035194184485e+01
3.900000000000000133e-01,1.598168412038798358e+01,1.599225200092776689e+01,1.598977444270224169e+01,4.150166225075822446e+00,1.627357429522123766e+01,1.212218104259940077e+01
4.000000000000000222e-01,1.598162413241805169e+01,1.599218500123099140e+01,1.598971732148808655e+01,4.150209181539719516e+00,1.627570568311570298e+01,1.212281852928121140e+01
4.100000000000000311e-01,1.598158414691571672e+01,1.599214400092390598e+01,1.598967010413000800e+01,4.150250168235575465e+00,1.627799232612674984e+01,1.212333336071753642e+01
4.199999999999999845e-01,1.598154416141817080e+01,1.599210300060273049e+01,1.598963060054930096e+01,4.150297039906752694e+00,1.628032905919056006e+01,1.212381422336557790e+01
4.299999999999999933e-01,1.598150417592540684e+01,1.599207500383369585e+01,1.598959592857134737e+01,4.150339786498657979e+00,1.628267955357591035e+01,1.212426726550101641e+01
4.400000000000000022e-01,1.598146419043743016e+01,1.599207500434153850e+01,1.598957342789030989e+01,4.150383069551524251e+00,1.628505723817234951e+01,1.212458900230316594e+01
4.500000000000000111e-01,1.598142420495424432e+01,1.599207500222238387e+01,1.598955691515973498e+01,4.150427191608073052e+00,1.628743490130179694e+01,1.212489937342545865e+01
4.600000000000000200e-01,1.598148421934522112e+01,1.599211100348628456e+01,1.598958853335199493e+01,4.150466356848473204e+00,1.628982390497807842e+01,1.212532154750456748e+01
4.700000000000000289e-01,1.598154423374042388e+01,1.599215200175016882e+01,1.598963681510557500e+01,4.150505366431298526e+00,1.629224323139467856e+01,1.212578530693046908e+01
4.799999999999999822e-01,1.598160424813985081e+01,1.599221100091790504e+01,1.598970318092339937e+01,4.150542726894423495e+00,1.629468079271615366e+01,1.212639286699714347e+01
