# y_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,9.769373694557036458e+01,9.825360099754716714e+01,9.797366897155876586e+01,2.799320259884012785e-01,nan,nan,nan,2.891305294627752875e+00
1.000000000000000021e-02,9.776121684705351811e+01,9.828356095654336855e+01,9.802238890179845043e+01,2.611720547449252194e-01,9.725964687593385349e+01,9.827640092288231699e+01,9.789016485142838064e+01,1.300915806856725476e+00
2.000000000000000042e-02,9.782869679843345523e+01,9.831352091641223012e+01,9.807110885742284268e+01,2.424120589893874467e-01,9.731480250348143102e+01,9.830760089074222208e+01,9.791649723165377850e+01,1.405423446349780559e+00
2.999999999999999889e-02,9.789790417874367279e+01,9.834144088988676913e+01,9.811967253431521385e+01,2.217683555715481702e-01,9.735606492517747768e+01,9.833700086863525769e+01,9.793877189051850962e+01,1.552738439616240473e+00
4.000000000000000083e-02,9.796787800474496066e+01,9.836732087639296651e+01,9.816759944056896359e+01,1.997214358240029242e-01,9.739732041276705843e+01,9.836470085704034716e+01,9.795960795243264840e+01,1.788256762470954664e+00
5.000000000000000278e-02,9.803676288881128187e+01,9.839320086300583057e+01,9.821498187590856332e+01,1.782189870972743506e-01,9.743751122907637807e+01,9.839070085684024036e+01,9.797988710906948029e+01,2.090842198585245004e+00
5.999999999999999778e-02,9.810426090579473168e+01,9.841492087987469972e+01,9.825959089283472281e+01,1.553299870399840188e-01,9.747770156299560540e+01,9.841480086923729687e+01,9.799814305476292020e+01,2.277257077573576982e+00
7.000000000000000666e-02,9.817126266958663905e+01,9.843664089690312835e+01,9.830395178324488370e+01,1.326891136582446507e-01,9.752317478536238582e+01,9.843720089607475643e+01,9.801694855942078277e+01,2.467509912280358098e+00
8.000000000000000167e-02,9.823669475282146379e+01,9.845604093672115198e+01,9.834636784477130789e+01,1.096730919498440926e-01,9.756865045098220435e+01,9.845770094018466523e+01,9.803452657929477709e+01,2.590111051199655012e+00
8.999999999999999667e-02,9.830173994738855470e+01,9.847312100079058439e+01,9.838743047408956954e+01,8.569052670101484637e-02,9.761013279209321070e+01,9.847620100556952139e+01,9.804958678086087787e+01,2.497197509858308351e+00
1.000000000000000056e-01,9.836299099208706309e+01,9.849020106696760024e+01,9.842659602952733167e+01,6.360503744026857476e-02,9.765161341542547291e+01,9.849250109776332351e+01,9.806420549183189905e+01,2.420209533692332382e+00
1.100000000000000006e-01,9.842424203743753708e+01,9.850164121054172028e+01,9.846294162398962158e+01,3.869958655209160270e-02,9.769173956106135392e+01,9.850650122445577495e+01,9.807472395845324797e+01,2.175093040739532579e+00
1.199999999999999956e-01,9.847985583798320874e+01,9.851308136315748243e+01,9.849646860057035269e+01,1.661276258713684228e-02,9.772448317602571422e+01,9.851790139625377662e+01,9.808437841858921047e+01,1.909737748910507404e+00
1.300000000000000044e-01,9.852066159075087626e+01,9.853544464167597994e+01,9.852805311621342810e+01,7.391525462551840064e-03,9.771841631750690738e+01,9.852640162770092047e+01,9.809157965654540590e+01,1.583233917336858143e+00
1.400000000000000133e-01,9.852438190817692032e+01,9.858360917235795284e+01,9.855399554026743658e+01,2.961363209051626200e-02,9.770731542979955009e+01,9.853160193927372745e+01,9.809634180259524783e+01,1.327011731524997185e+00
1.499999999999999944e-01,9.852810225444602565e+01,9.863136781402089071e+01,9.857973503423346529e+01,5.163277978743252561e-02,9.769624386695961960e+01,9.853310236005991385e+01,9.809905926231496665e+01,1.031840850524659681e+00
1.600000000000000033e-01,9.852066290016269079e+01,9.866917874683288403e+01,9.859492082349778741e+01,7.425792333509662058e-02,9.767869385119855963e+01,9.853010293044731327e+01,9.809418866752730537e+01,9.092796418668955827e-01
1.700000000000000122e-01,9.851322362714593339e+01,9.870645617658081505e+01,9.860983990186338133e+01,9.661627471744083095e-02,9.765707687934475700e+01,9.852200370650822947e+01,9.808558528060767401e+01,8.384873376700812120e-01
1.799999999999999933e-01,9.849734470287515364e+01,9.872986077014667217e+01,9.861360273651091291e+01,1.162580336357592614e-01,9.763458076377685302e+01,9.850790476872631984e+01,9.807396965795079780e+01,8.098490138658021031e-01
1.900000000000000022e-01,9.847302622676814110e+01,9.875154969226738899e+01,9.861228795951777215e+01,1.392617327496239454e-01,9.759640794642905348e+01,9.848670623052652218e+01,9.805342456706246423e+01,8.109395650847333048e-01
2.000000000000000111e-01,9.844870796463223428e+01,9.875658047808414608e+01,9.860264422135819018e+01,1.539362567259559000e-01,9.755819403519409150e+01,9.845710824696671182e+01,9.803119076533711507e+01,8.477473555281676010e-01
2.099999999999999922e-01,9.839859113486048159e+01,9.875609874785479292e+01,9.857734494135763725e+01,1.787538064971556651e-01,9.750470651782882214e+01,9.841761103289654500e+01,9.798749466733016789e+01,9.358109668991470009e-01
2.200000000000000011e-01,9.834847483699589077e+01,9.873723832763708685e+01,9.854285658231648881e+01,1.943817453205980428e-01,9.743516591091265866e+01,9.836631488919813648e+01,9.793822762319176434e+01,1.099178945591807066e+00
2.300000000000000100e-01,9.827908025010441406e+01,9.870573401406205960e+01,9.849240713208322973e+01,2.133268819788227688e-01,9.736566781698033424e+01,9.830132021947424903e+01,9.787720854381677782e+01,1.269982800906264586e+00
2.399999999999999911e-01,9.819040789545488224e+01,9.865632881565581158e+01,9.842336835555533980e+01,2.329604601004646725e-01,9.725442451900829610e+01,9.822022755183763820e+01,9.780096477280655165e+01,1.479427015889689168e+00
2.500000000000000000e-01,9.810173677118932289e+01,9.858268581285226162e+01,9.834221129202079226e+01,2.404745208314693627e-01,9.713973358670558866e+01,9.812053757387738528e+01,9.771305085766870491e+01,1.711834431713915583e+00
