# y_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,-8.458794899999997341e+00,-7.482330000000000148e+00,-7.970562449999999188e+00,4.882324499999985967e-01,nan,nan,nan,nan
1.000000000000000021e-02,-8.117269907579107269e+00,-7.349701999999999735e+00,-7.733485953789553946e+00,3.837839537895537667e-01,-9.761056991179913211e+00,-5.277232414151070472e+00,-7.178789481066196743e+00,1.532311861969333222e+00
2.000000000000000042e-02,-7.775744915158215420e+00,-7.217074000000000211e+00,-7.496409457579107816e+00,2.793354575791076044e-01,-9.571858599195993023e+00,-5.193990828302139207e+00,-7.058703085499627328e+00,1.487899942928642361e+00
2.999999999999999889e-02,-7.439923282348225975e+00,-7.085924000000000333e+00,-7.262923641174113598e+00,1.769996411741128206e-01,-9.375673132591327175e+00,-5.118095432572105530e+00,-6.941297713032687611e+00,1.439895704538790344e+00
4.000000000000000083e-02,-7.106632161026076311e+00,-6.956251999999999214e+00,-7.031442080513038206e+00,7.519008051303854856e-02,-9.179484170701707413e+00,-5.051706887966624926e+00,-6.826402211733666903e+00,1.389812238590608207e+00
5.000000000000000278e-02,-6.826579999999999870e+00,-6.774365350119557760e+00,-6.800472675059778815e+00,2.610732494022105499e-02,-8.932887911619115329e+00,-4.985318343361145210e+00,-6.699425250996052128e+00,1.322697692156938443e+00
5.999999999999999778e-02,-6.694612000000000229e+00,-6.443403073980300988e+00,-6.569007536990151053e+00,1.256044630098496206e-01,-8.686267445414454613e+00,-4.924698601195427905e+00,-6.567966809321975852e+00,1.258779824872613418e+00
7.000000000000000666e-02,-6.562643999999999700e+00,-6.112967663831545551e+00,-6.337805831915773069e+00,2.248381680842270747e-01,-8.437150857392859749e+00,-4.864927211356564030e+00,-6.436178813749885208e+00,1.193859552815510483e+00
8.000000000000000167e-02,-6.426004000000000715e+00,-5.784198745292609800e+00,-6.105101372646305258e+00,3.209026273536954577e-01,-8.188033120626807104e+00,-4.804328294990604320e+00,-6.301312683123481584e+00,1.128834012498613371e+00
8.999999999999999667e-02,-6.284691999999999723e+00,-5.455320269926920318e+00,-5.870006134963460021e+00,4.146858650365397025e-01,-7.909966402856042578e+00,-4.741867441249216775e+00,-6.159371968821051979e+00,1.054571328064076718e+00
1.000000000000000056e-01,-6.143379999999999619e+00,-5.125367397403635117e+00,-5.634373698701817368e+00,5.090063012981822510e-01,-7.631887231668474492e+00,-4.679406587507830118e+00,-6.017428763835260597e+00,9.804874615675801541e-01
1.100000000000000006e-01,-5.982592000000000354e+00,-4.795414524880350804e+00,-5.389003262440175135e+00,5.935887375598247750e-01,-7.330848903293549768e+00,-4.603900679599455259e+00,-5.846646316578601343e+00,9.096313779823071988e-01
1.199999999999999956e-01,-5.821804000000000201e+00,-4.458179919675537839e+00,-5.139991959837768576e+00,6.818120401622311810e-01,-7.029801387580813632e+00,-4.523896483200167573e+00,-5.674962374156196532e+00,8.403614460572687017e-01
1.300000000000000044e-01,-5.643691999999999709e+00,-4.120913014973218047e+00,-4.882302507486608434e+00,7.613894925133908309e-01,-6.698803853017060383e+00,-4.435642157635694360e+00,-5.490142002130551369e+00,7.629805596077764429e-01
1.400000000000000133e-01,-5.448255999999999766e+00,-3.768240560876365830e+00,-4.608248280438182576e+00,8.400077195618169679e-01,-6.367795232844656539e+00,-4.309672909922459105e+00,-5.290280028553422831e+00,6.947795328054233721e-01
1.499999999999999944e-01,-5.252819999999999823e+00,-3.414725810326872502e+00,-4.333772905163436384e+00,9.190470948365636605e-01,-5.996354650718014767e+00,-4.183703662209224738e+00,-5.078331662585448214e+00,6.138699559810769646e-01
1.600000000000000033e-01,-4.999463999999999686e+00,-3.033128698683948965e+00,-4.016296349341974548e+00,9.831676506580253605e-01,-5.624900721639432888e+00,-4.017509706426379168e+00,-4.813166085613161727e+00,5.616041929057016269e-01
1.700000000000000122e-01,-4.746107999999999549e+00,-2.650025275035431616e+00,-3.698066637517715805e+00,1.048041362482283967e+00,-5.198537122472449923e+00,-3.826175348953219313e+00,-4.525990494285133892e+00,5.022426864503808375e-01
1.799999999999999933e-01,-4.445788000000000295e+00,-2.218965668431146288e+00,-3.332376834215573069e+00,1.113411165784427004e+00,-4.772157594881898390e+00,-3.629530957692806314e+00,-4.222484910514941348e+00,4.412114720411517421e-01
1.900000000000000022e-01,-4.098504000000000147e+00,-1.781066252378656456e+00,-2.939785126189328412e+00,1.158718873810671957e+00,-4.267899962349058995e+00,-3.334650837822426439e+00,-3.866491760034297620e+00,3.822844195641060261e-01
2.000000000000000111e-01,-3.751219999999999999e+00,-1.276560577388758055e+00,-2.513890288694379027e+00,1.237329711305620972e+00,-3.770000000000000018e+00,-3.039770717952046564e+00,-3.500494714674686314e+00,3.220706831246373247e-01
2.099999999999999922e-01,-3.254840000000000622e+00,-7.474865550153991789e-01,-2.001163277507699956e+00,1.253676722492300666e+00,-3.330000000000001403e+00,-2.584000000000000963e+00,-2.998741995828853479e+00,3.061663691744818672e-01
2.200000000000000011e-01,-2.758460000000000356e+00,-1.365048773807047977e-01,-1.447482438690352646e+00,1.310977561309647932e+00,-2.829999999999998295e+00,-1.988000000000000433e+00,-2.471474055123296765e+00,3.136882837502619203e-01
2.300000000000000100e-01,-2.146831599999999174e+00,5.359291723309328459e-01,-8.054512138345331085e-01,1.341380386165466065e+00,-2.229999999999997762e+00,-1.391999999999999682e+00,-1.870401201578864914e+00,2.983728843600005343e-01
2.399999999999999911e-01,-1.419954800000000628e+00,1.295366361237888064e+00,-6.229421938105628165e-02,1.357660580618944346e+00,-1.540000000000000036e+00,-7.960000000000007070e-01,-1.188580641594634946e+00,2.720131962836112582e-01
2.500000000000000000e-01,-6.930779999999999719e-01,2.182045807620302647e+00,7.444839038101513928e-01,1.437561903810151254e+00,-7.399999999999999911e-01,1.092400000000048887e-03,-4.376607522433224595e-01,2.898976950885178705e-01
2.600000000000000089e-01,3.751892000000001115e-01,3.140280945644162713e+00,1.757735072822081523e+00,1.382545872822081412e+00,2.017162525453361777e-01,1.014000000000001345e+00,5.558932233327655847e-01,3.694632309197932174e-01
2.700000000000000178e-01,1.443456400000000084e+00,4.329877459095139436e+00,2.886666929547569538e+00,1.443210529547569676e+00,1.156911482688287141e+00,2.277035833884372362e+00,1.678157223314532542e+00,4.765428788978498531e-01
2.800000000000000266e-01,2.747284000000001392e+00,5.610255174936998657e+00,4.178769587468499580e+00,1.431485587468498633e+00,2.112106712831238298e+00,3.562390219653670087e+00,2.883043386496982663e+00,5.448946760156468949e-01
2.899999999999999800e-01,4.286671999999996707e+00,7.133704484273132529e+00,5.710188242136564618e+00,1.423516242136567911e+00,3.444433420075553531e+00,5.226704186340833225e+00,4.325755521283274341e+00,5.952759321327171227e-01
2.999999999999999889e-01,5.826060000000000016e+00,8.858653375146278819e+00,7.342356687573139418e+00,1.516296687573139401e+00,4.874084257034912326e+00,6.891180843982836812e+00,5.831965020203550232e+00,6.404297898072230932e-01
