# x_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,1.970597008381095350e+01,2.065934758664923621e+01,2.044565544729990236e+01,3.341417236991716111e-01,1.818714712109029819e+01,2.414218897190487922e+01,2.053262377548173490e+01,1.629181880905422597e+00
2.999999999999999889e-02,1.944552424410616709e+01,2.039937045756319023e+01,2.018642051993336750e+01,3.338372520501581286e-01,1.797845481537739687e+01,2.361357091137196562e+01,2.021292314382868938e+01,1.550495114647228778e+00
4.000000000000000083e-02,1.918508408820887468e+01,2.013939939720595973e+01,1.991762949518498615e+01,3.302105438535995474e-01,1.774911522242121009e+01,2.307667328724444289e+01,1.987779073179495271e+01,1.472774626165632483e+00
5.000000000000000278e-02,1.892464985077997497e+01,1.987943464366690804e+01,1.963121463372916864e+01,3.200115856711805984e-01,1.747725338589732047e+01,2.251736960796799281e+01,1.952006646944440149e+01,1.402713844778601837e+00
5.999999999999999778e-02,1.866422177957238304e+01,1.952157564183098515e+01,1.932171797143279335e+01,2.960997751033854763e-01,1.720625106697395879e+01,2.195953422193615978e+01,1.913146331375452647e+01,1.331719688310013083e+00
7.000000000000000666e-02,1.840380013635657619e+01,1.916371681779387615e+01,1.898384152468558028e+01,2.611595502795476254e-01,1.687109253690141841e+01,2.137334201716153359e+01,1.871165567456327494e+01,1.271257746792469057e+00
8.000000000000000167e-02,1.814338519792568860e+01,1.880585818170564494e+01,1.863612368489259552e+01,2.227896845040509277e-01,1.652746967755490815e+01,2.078199375199118748e+01,1.827885546204697675e+01,1.209951607855643374e+00
8.999999999999999667e-02,1.777135337997471254e+01,1.844799974450390323e+01,1.825404746378275078e+01,2.204356143422142311e-01,1.616251116644390251e+01,2.018454822553284700e+01,1.782247287936937141e+01,1.154954216177009441e+00
1.000000000000000056e-01,1.734351088447083100e+01,1.809014151799175707e+01,1.784358447315673146e+01,2.335812782859140735e-01,1.577284709267475904e+01,1.958004298022348166e+01,1.735312820569581049e+01,1.102198648247893820e+00
1.100000000000000006e-01,1.691566848152898572e+01,1.764283353803650201e+01,1.741349605095802033e+01,2.306210967162695968e-01,1.538493769989295323e+01,1.897828209866625215e+01,1.686467227204982322e+01,1.052506755842578690e+00
1.199999999999999956e-01,1.648782617835485098e+01,1.719554267006138204e+01,1.697047741985711511e+01,2.241856351168680928e-01,1.500309761685551813e+01,1.840455296844485034e+01,1.637372689832533013e+01,1.008041123482169121e+00
1.300000000000000044e-01,1.605998398292193485e+01,1.674827028507950999e+01,1.652362948121521313e+01,2.167033038000804601e-01,1.456105411968537133e+01,1.782919685756661110e+01,1.588078951661644211e+01,9.635708419530149005e-01
1.400000000000000133e-01,1.563214190407667914e+01,1.630101790451725918e+01,1.608158318491912198e+01,2.103980884996387302e-01,1.409291350797560405e+01,1.730207727879399826e+01,1.540318650517866850e+01,9.265960753903601521e-01
1.499999999999999944e-01,1.520429995166125536e+01,1.585378722141327223e+01,1.564446758987131858e+01,2.056978294288132614e-01,1.365550560896821786e+01,1.680912371107030268e+01,1.494062253159654219e+01,8.908670061286183550e-01
1.600000000000000033e-01,1.477645813665771435e+01,1.549623961803890992e+01,1.523149559404036602e+01,2.193042980528331631e-01,1.321855616298778990e+01,1.633443670012659155e+01,1.450991768318039021e+01,8.619816689222817852e-01
1.700000000000000122e-01,1.443404934350058610e+01,1.513870607236765942e+01,1.486147399611904696e+01,2.114422660412259014e-01,1.284222781298575811e+01,1.596335485905070861e+01,1.412653274808061710e+01,8.424857593548710222e-01
1.799999999999999933e-01,1.426250636525498372e+01,1.478118760450035651e+01,1.452765044040229192e+01,1.518813188772062117e-01,1.246603740652101777e+01,1.559276033900668601e+01,1.375618496398105606e+01,8.277194890645047654e-01
1.900000000000000022e-01,1.409096341123841789e+01,1.442368533563317534e+01,1.422895208404629130e+01,1.000588703499479537e-01,1.217552530214944184e+01,1.531546286266046764e+01,1.344984641642878920e+01,8.209963303941936186e-01
2.000000000000000111e-01,1.388511045056451110e+01,1.406620050089272489e+01,1.395713004431386395e+01,5.848320123355607580e-02,1.188575724672706713e+01,1.507677689525747589e+01,1.316911150210538040e+01,8.269431683510107822e-01
2.099999999999999922e-01,1.367686860067879628e+01,1.394364032338896386e+01,1.375024466812647184e+01,9.013161219598490870e-02,1.169704995616549681e+01,1.486807036241380153e+01,1.296625825512774099e+01,8.206290699384184428e-01
2.200000000000000011e-01,1.349958817850074766e+01,1.382108018351927470e+01,1.359110554983926988e+01,1.066070507896755698e-01,1.150712817640114061e+01,1.474454392095657340e+01,1.281221797735553380e+01,8.367398690273185613e-01
2.300000000000000100e-01,1.337053478610572554e+01,1.369852008229378626e+01,1.344841026558288455e+01,1.154935159655823551e-01,1.141759002943074108e+01,1.462097823594841017e+01,1.268948865179102015e+01,8.312715502274327095e-01
2.399999999999999911e-01,1.323324903756970983e+01,1.357596002075911734e+01,1.335359308330400019e+01,1.067038482091698659e-01,1.132908800644661262e+01,1.457648842421320090e+01,1.261948768324918646e+01,8.434600555131717137e-01
2.500000000000000000e-01,1.306170624940748937e+01,1.345340000000000025e+01,1.328573362256234169e+01,1.189430802954344890e-01,1.132881998757069297e+01,1.454828275385808034e+01,1.258128835576134641e+01,8.407639509073480122e-01
2.600000000000000089e-01,1.322660154557446965e+01,1.357596002075931985e+01,1.334317048144736617e+01,1.124329549659842525e-01,1.132852521362003984e+01,1.455765303292276158e+01,1.260123606295482723e+01,8.423069035789088055e-01
2.700000000000000178e-01,1.335381537102423266e+01,1.369852008229409357e+01,1.344634783148361379e+01,1.167457800644178534e-01,1.141690340110470814e+01,1.462345849204390724e+01,1.266920402272777579e+01,8.400543258171977445e-01
2.800000000000000266e-01,1.343981189647529639e+01,1.382108018351957135e+01,1.356377523821271147e+01,1.239395540277860169e-01,1.150630236351474522e+01,1.469017022941608452e+01,1.275304194935503510e+01,8.346107009357142115e-01
2.899999999999999800e-01,1.365194269624484846e+01,1.394364032338916282e+01,1.373727023683006365e+01,9.641004525499803635e-02,1.169557559319976292e+01,1.486348384641570952e+01,1.291014590973138709e+01,8.351916968566068800e-01
2.999999999999999889e-01,1.387468104283614423e+01,1.406620050089272489e+01,1.393517422028656405e+01,7.002897896760112983e-02,1.188598098207505949e+01,1.504211193544478498e+01,1.309037537390106287e+01,8.349201763153201172e-01
3.099999999999999978e-01,1.405108061329464597e+01,1.442368533563317534e+01,1.420695973238125553e+01,1.125304273763203938e-01,1.217650008192650901e+01,1.528852782545530786e+01,1.335463447647290280e+01,8.322834123441598120e-01
3.200000000000000067e-01,1.421597690220714760e+01,1.478118760450035829e+01,1.451562841599608511e+01,1.655072224480952925e-01,1.246774815509626144e+01,1.559950578832801149e+01,1.366646513600980128e+01,8.472717203004044295e-01
