# x_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,1.977834885608815441e+01,2.025720406592065714e+01,1.995873485644057510e+01,1.355810202132257392e-01,1.944258403163489390e+01,2.255354601378198609e+01,2.034603202865608651e+01,1.053473534624443708e+00
2.999999999999999889e-02,1.752805116270657138e+01,1.809460685651920286e+01,1.774871939111550034e+01,1.725185760494659382e-01,1.736969249916256430e+01,1.984932223941800444e+01,1.802006680841140707e+01,8.547130804237283996e-01
4.000000000000000083e-02,1.549110596657233607e+01,1.625026746458651061e+01,1.567873355948550795e+01,2.354200500735935675e-01,1.543821475590866044e+01,1.758711550182492900e+01,1.584054919170487175e+01,6.634766584755318330e-01
5.000000000000000278e-02,1.326576766510268968e+01,1.440592807265870690e+01,1.376928045676213586e+01,3.033122474695687520e-01,1.325540955471162619e+01,1.551901024072883750e+01,1.391083084928271241e+01,6.169675731163636323e-01
5.999999999999999778e-02,1.193958303440625102e+01,1.256158868073796242e+01,1.208321616439138246e+01,1.960714731318201620e-01,1.193026855745746495e+01,1.364260639778452600e+01,1.220067289820268996e+01,5.031936384426519693e-01
7.000000000000000666e-02,1.041444592776207401e+01,1.071724928882790806e+01,1.058161947284873250e+01,9.455677677334364817e-02,1.041215904815403093e+01,1.195290377823875438e+01,1.073194174774949694e+01,4.312303729227818794e-01
8.000000000000000167e-02,8.872909896935214036e+00,9.323916270558061825e+00,9.173281718431670839e+00,1.336678121778813733e-01,9.025851337995943524e+00,1.044310211398419774e+01,9.342087775262195137e+00,3.858831168127015432e-01
8.999999999999999667e-02,7.814535280990309474e+00,8.099777797523135092e+00,7.990119004488219545e+00,8.349695416545444004e-02,7.926725860891688846e+00,9.104431130269537320e+00,8.159715477624562396e+00,3.355246456189612259e-01
1.000000000000000056e-01,6.668034739231894825e+00,7.149143052432078704e+00,6.964398028586841427e+00,1.421717779264468351e-01,6.651573857069296380e+00,7.926250590867125467e+00,7.061861228200564611e+00,3.279156888984890439e-01
1.100000000000000006e-01,5.996099241779728750e+00,6.483750823890741977e+00,6.109922797311401865e+00,1.511889268769710526e-01,5.979118164442877692e+00,6.896800318034912003e+00,6.173008053209137813e+00,2.642199703877051720e-01
1.199999999999999956e-01,5.217969711262067101e+00,5.818358595372099096e+00,5.389208007585457594e+00,1.706695346372018862e-01,5.218995043471715611e+00,6.003640193638858591e+00,5.406216480660235746e+00,2.202688233578192212e-01
1.300000000000000044e-01,4.561796488779422454e+00,5.152966366884939475e+00,4.706377455861116665e+00,1.783451840538492483e-01,4.504887951151041570e+00,5.233940149870973890e+00,4.721785626608430597e+00,1.990104553512706820e-01
1.400000000000000133e-01,3.998799055910581490e+00,4.487574138443265248e+00,4.116202350150673261e+00,1.472265221575127792e-01,4.001135019717524166e+00,4.575060156215174700e+00,4.139133954020445927e+00,1.650088821360732039e-01
1.499999999999999944e-01,3.430384085493589641e+00,3.822181910070837407e+00,3.599439381592572040e+00,1.098043654894449578e-01,3.422820997916107277e+00,4.014700206775568603e+00,3.639997140530758735e+00,1.632742027774038429e-01
1.600000000000000033e-01,3.139816194364807966e+00,3.248357922701529343e+00,3.176046930925084943e+00,3.596475950189255422e-02,3.103286672633484233e+00,3.541440309633133943e+00,3.227311303239044804e+00,1.278887295862821960e-01
1.700000000000000122e-01,2.677503224157754325e+00,2.928428830797416005e+00,2.847988873173970870e+00,7.353255905511518753e-02,2.783975949146178852e+00,3.144680478511456378e+00,2.913908541722075807e+00,1.104097628362587791e-01
1.799999999999999933e-01,2.532071026054330432e+00,2.649306923854970908e+00,2.585350179802016868e+00,3.715063354879274277e-02,2.471289847478535417e+00,2.814900726257713703e+00,2.618712782821345009e+00,1.036451259338515285e-01
1.900000000000000022e-01,2.316690882444920163e+00,2.463353401878924931e+00,2.376698488915636620e+00,4.056809815222189863e-02,2.280609686381888768e+00,2.556883337939831691e+00,2.403798968409564640e+00,9.355655423758899025e-02
2.000000000000000111e-01,2.105151584017113109e+00,2.356278490785760127e+00,2.196219885873056388e+00,7.184076246224950502e-02,2.091183587467512872e+00,2.406906074553265107e+00,2.210470445029652176e+00,9.761689281343940983e-02
2.099999999999999922e-01,2.007708764306440408e+00,2.249203579729300184e+00,2.066953948003436459e+00,7.250733878228335372e-02,1.947493399084077259e+00,2.273736545713211488e+00,2.077649014057839860e+00,9.236963786652956088e-02
2.200000000000000011e-01,1.906074592773188803e+00,2.142128668715048700e+00,1.975365025119227180e+00,6.876780011974485685e-02,1.851946265994535601e+00,2.197314331776429874e+00,1.979122395022983039e+00,9.129444178085713291e-02
2.300000000000000100e-01,1.830967404448631708e+00,2.035053757749667902e+00,1.894726453776410802e+00,6.081238967693413516e-02,1.755687621224368389e+00,2.120437101621921894e+00,1.902919198745060214e+00,9.548112691516422168e-02
2.399999999999999911e-01,1.799338574324938156e+00,1.927978846841301719e+00,1.846575505923754523e+00,4.040364329877627059e-02,1.729292180225419528e+00,2.085841570968242298e+00,1.860611791754160915e+00,9.155743084648755581e-02
2.500000000000000000e-01,1.779979999999999896e+00,1.878646656699655360e+00,1.813897680119957112e+00,3.311283399566133240e-02,1.708376226047590318e+00,2.060068723162654880e+00,1.838749753281439414e+00,9.421502200442136155e-02
2.600000000000000089e-01,1.792267150099559725e+00,1.927924904076725454e+00,1.843347257920457505e+00,4.252308043163079837e-02,1.715882548428155241e+00,2.060240776260308770e+00,1.847471875155523691e+00,9.187634432760853620e-02
2.700000000000000178e-01,1.842929467484369033e+00,2.034945872215832452e+00,1.900199880272923636e+00,5.838079749188850032e-02,1.773930734189864467e+00,2.096180092231707537e+00,1.893303447806963691e+00,9.160848314605689324e-02
2.800000000000000266e-01,1.905778193872048831e+00,2.141966840407977024e+00,1.967194150222259630e+00,7.236098139098755266e-02,1.831895825132290323e+00,2.134042609298532067e+00,1.946765223689254753e+00,8.908762252457871900e-02
2.899999999999999800e-01,2.007708344307229886e+00,2.248987808645586117e+00,2.073132515179102686e+00,7.006221283557803603e-02,1.913822915617435783e+00,2.251077992765659452e+00,2.054373113877848489e+00,9.478045728170393647e-02
2.999999999999999889e-01,2.105151584017113109e+00,2.356008776922464687e+00,2.197395588764304186e+00,7.217520020213068210e-02,2.014132476987118281e+00,2.371603165883484188e+00,2.174943152345904629e+00,9.789932407370842415e-02
3.099999999999999978e-01,2.316690102445508437e+00,2.463029745233494161e+00,2.374482324323326843e+00,3.988464434881437010e-02,2.149141958660790941e+00,2.547361422985936485e+00,2.359970987526527786e+00,1.084581378437921850e-01
3.200000000000000067e-01,2.532070126054818626e+00,2.648484093439496423e+00,2.595416554822569388e+00,3.521096705787059994e-02,2.323871475264281727e+00,2.775723012056640737e+00,2.584041094956015083e+00,1.163885471134908922e-01
