# x_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,1.512482521028875304e+01,1.550099664239913011e+01,1.525464584613316177e+01,1.219605518019599155e-01,1.199196565885195120e+01,1.583154164928367358e+01,1.486929578116554218e+01,9.258006552593309735e-01
2.999999999999999889e-02,1.454439985708166283e+01,1.485706798099867498e+01,1.467417601695937712e+01,1.018046573019993489e-01,1.148420018186414637e+01,1.521183161225007119e+01,1.432403982171209833e+01,9.122497791749082374e-01
4.000000000000000083e-02,1.402175953899379834e+01,1.425980927242058094e+01,1.412562475062833833e+01,7.852314669334209407e-02,1.105207449579412504e+01,1.464518462884683458e+01,1.382422512711205265e+01,8.852733025039204451e-01
5.000000000000000278e-02,1.352932060185657903e+01,1.376562240218083488e+01,1.361159578893141564e+01,6.775462872079818233e-02,1.062089483032937665e+01,1.412471121632816917e+01,1.337141836748363488e+01,8.735835767578711275e-01
5.999999999999999778e-02,1.309651433458776637e+01,1.327147774273491265e+01,1.316738358431097744e+01,5.501036829337425244e-02,1.027355965950248695e+01,1.364481766859736922e+01,1.296600654347267145e+01,8.486503203050068667e-01
7.000000000000000666e-02,1.263818040750751592e+01,1.283054165234511501e+01,1.275800408009453157e+01,6.835878185996940859e-02,9.938424733077562578e+00,1.324802429777621526e+01,1.259512890111056471e+01,8.332890745270663535e-01
8.000000000000000167e-02,1.225585702148565481e+01,1.248265216571481417e+01,1.237388922472201003e+01,7.394101580439478572e-02,9.626158369356717870e+00,1.285851976838485022e+01,1.224284866391159277e+01,8.158622318113957217e-01
8.999999999999999667e-02,1.190715105578394351e+01,1.214301079700202202e+01,1.202431815419605599e+01,7.527760366009252080e-02,9.364349311857466773e+00,1.253022452224077377e+01,1.192394414206826347e+01,7.953486828968154843e-01
1.000000000000000056e-01,1.159510011640542970e+01,1.181292207023314589e+01,1.169428331348360395e+01,6.994099485364288493e-02,9.102473598049400039e+00,1.220191873409161865e+01,1.161126475597518315e+01,7.785538544306708220e-01
1.100000000000000006e-01,1.128302932151170168e+01,1.148476516849940232e+01,1.140694830242616220e+01,7.707708240252743315e-02,8.884483251559966988e+00,1.192912208979458022e+01,1.133376293791341460e+01,7.594668707268030783e-01
1.199999999999999956e-01,1.102329204994033596e+01,1.124245710039344281e+01,1.115837900801721005e+01,7.233770665715683057e-02,8.682045729965341962e+00,1.165631787564580968e+01,1.107619837015644570e+01,7.422890919920825947e-01
1.300000000000000044e-01,1.078099333403406668e+01,1.101267674955546738e+01,1.091959439623439287e+01,6.983924632442425895e-02,8.488635486421586052e+00,1.143402008373612411e+01,1.082832830664830936e+01,7.279674857637482566e-01
1.400000000000000133e-01,1.055353333027212948e+01,1.078289639873187333e+01,1.071493397620838905e+01,7.132390451334558179e-02,8.336484482147664465e+00,1.121171717808543455e+01,1.061591534451691210e+01,7.113147628644244103e-01
1.499999999999999944e-01,1.037060346673477973e+01,1.057867998537235721e+01,1.052970849717860169e+01,6.709855442967667394e-02,8.184180093958522306e+00,1.103561872449954606e+01,1.042462602404737204e+01,7.030343897592147284e-01
1.600000000000000033e-01,1.018766636826858729e+01,1.045047354119098415e+01,1.037656872104974859e+01,8.151175673775930275e-02,8.058365008971351884e+00,1.085956662942905027e+01,1.026571934267979813e+01,6.928724268680491738e-01
1.700000000000000122e-01,1.004357495839066594e+01,1.034644858783428489e+01,1.024966548640554365e+01,9.020756009420592691e-02,7.950045335594985829e+00,1.072601879968634897e+01,1.014196979528577280e+01,6.888871750679060879e-01
1.799999999999999933e-01,9.912429612736751494e+00,1.024054534818965934e+01,1.012858278340948637e+01,9.770647866202517018e-02,7.843701996131685839e+00,1.059251621228516171e+01,1.002708351295915357e+01,6.849061884309548542e-01
1.900000000000000022e-01,9.792906801286754614e+00,1.012999493314324795e+01,1.002708332380379375e+01,1.023981000839708638e-01,7.773917589862118227e+00,1.049836845697753951e+01,9.938003046204714863e+00,6.794165643270436705e-01
2.000000000000000111e-01,9.708257572893959519e+00,1.002775506267788508e+01,9.932578665629007375e+00,9.834304291107512364e-02,7.704615151587253408e+00,1.040416591736699381e+01,9.851484953458204075e+00,6.754540151208471288e-01
2.099999999999999922e-01,9.623604663979500984e+00,9.955024384224415712e+00,9.861858380246363964e+00,1.018205596375715560e-01,7.652189216650714165e+00,1.034606640130774480e+01,9.785001767301702458e+00,6.729683678678998193e-01
2.200000000000000011e-01,9.571308298238140111e+00,9.880789038119303314e+00,9.802908424408778743e+00,9.885868583546165989e-02,7.617527803149989118e+00,1.028796573619080412e+01,9.725894625782988356e+00,6.673426470568332158e-01
2.300000000000000100e-01,9.529796334232546684e+00,9.846650987350139772e+00,9.749799325323262877e+00,9.863431615069485903e-02,7.582205438922620999e+00,1.026226781005158628e+01,9.674217276700305845e+00,6.655198834792952489e-01
2.399999999999999911e-01,9.498661941873024261e+00,9.812512936594458779e+00,9.720199867422538276e+00,1.022017525714349756e-01,7.573404956221851059e+00,1.023661565195260081e+01,9.643519447971302228e+00,6.616265082801289221e-01
2.500000000000000000e-01,9.498663200574696930e+00,9.788669595248103761e+00,9.698582420833648854e+00,9.943653313798184179e-02,7.567244291576924908e+00,1.023666712416223845e+01,9.624797358243098344e+00,6.593138613720417318e-01
2.600000000000000089e-01,9.498661940403325232e+00,9.812512936594458779e+00,9.704089248487360209e+00,1.062475113637477014e-01,7.570703022587832898e+00,1.023671565179970244e+01,9.631856723331400971e+00,6.589242772259688019e-01
2.700000000000000178e-01,9.529796420490828979e+00,9.846650987350141548e+00,9.734289155680508898e+00,1.037687402316444379e-01,7.590465069455031966e+00,1.026251781497094306e+01,9.663355666441647784e+00,6.604348158589953277e-01
2.800000000000000266e-01,9.571308379738104222e+00,9.880789038119301537e+00,9.768505037550619718e+00,1.002435548779062463e-01,7.609883641195107629e+00,1.028831573565547153e+01,9.692514353424014573e+00,6.640506818175940795e-01
2.899999999999999800e-01,9.623604614516981570e+00,9.914927088901803742e+00,9.832916783151839368e+00,9.521213638897392528e-02,7.654751295589151461e+00,1.034651817129318196e+01,9.748373512524423745e+00,6.692648064106937467e-01
2.999999999999999889e-01,9.708257335480379169e+00,9.992002613207722206e+00,9.908386349513689240e+00,8.671927230547535337e-02,7.706187282927120741e+00,1.040471591477652957e+01,9.816924084526087668e+00,6.740010018693074478e-01
3.099999999999999978e-01,9.792906755749596570e+00,1.009416886307538341e+01,1.000739475302891712e+01,9.310251454317122755e-02,7.766739692387711003e+00,1.049906845574696668e+01,9.904311548009125943e+00,6.816682041515255142e-01
3.200000000000000067e-01,9.912429252894540355e+00,1.020293508193535637e+01,1.012674622640702005e+01,9.376306178320940876e-02,7.855015432449898860e+00,1.059341620915845184e+01,1.001162166242443163e+01,6.853151825440868539e-01
