# y_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
2.300000000000000100e-01,-8.191491819314186129e-01,-3.711683999999994543e-01,-5.951587909657090059e-01,2.239903909657095793e-01,-7.499999999999976685e-01,2.823933888965028505e+00,6.513386431850913816e-01,1.269982800906264586e+00
2.399999999999999911e-01,-1.001205095783689603e-01,3.924307999999991914e-01,1.461551452108151294e-01,2.462756547891840619e-01,1.700000000000000122e-01,4.226962927178043117e+00,1.465504743614562955e+00,1.479427015889689168e+00
2.500000000000000000e-01,7.434707447401149860e-01,1.156029999999999891e+00,9.497503723700574385e-01,2.062796276299424525e-01,1.059609999999999941e+00,5.637389897371907210e+00,2.314137876742813127e+00,1.711834431713915583e+00
2.600000000000000089e-01,1.657110753945709725e+00,2.223002000000000145e+00,1.940056376972854935e+00,2.829456230271452100e-01,1.887536094243772000e+00,7.022575364811540766e+00,3.364476291811063113e+00,1.903131340903059465e+00
2.700000000000000178e-01,2.785360734128578208e+00,3.289973999999999954e+00,3.037667367064289081e+00,2.523066329357108728e-01,2.648478531941280689e+00,8.362530489605328299e+00,4.497187804309321635e+00,2.038728178668754332e+00
2.800000000000000266e-01,3.995168375742992772e+00,4.555866000000001748e+00,4.275517187871496816e+00,2.803488121285044876e-01,3.409510496032248650e+00,9.702441694385793625e+00,5.704935238083609583e+00,2.155351350014448997e+00
2.899999999999999800e-01,5.420883109285492552e+00,6.020677999999996644e+00,5.720780554642744598e+00,2.998974453572520460e-01,4.667821786266105555e+00,1.110651318944402099e+01,7.107997395142021446e+00,2.178686533946975423e+00
2.999999999999999889e-01,7.019272217050020579e+00,7.485490000000000421e+00,7.252381108525010944e+00,2.331088914749899210e-01,5.926318575192515148e+00,1.252725195791568780e+01,8.558430106621640832e+00,2.233964620961385705e+00
3.099999999999999978e-01,8.750151238389463515e+00,9.415054000000001366e+00,9.082602619194732441e+00,3.324513808052689257e-01,7.783012744609457023e+00,1.404003972253131494e+01,1.046356809342815453e+01,2.123486806595036303e+00
3.200000000000000067e-01,1.078074830833021025e+01,1.134461800000000054e+01,1.106268315416510539e+01,2.819348458348951425e-01,9.639999567145887127e+00,1.585931017277081878e+01,1.248006114798334210e+01,2.157303525965899471e+00
3.300000000000000155e-01,1.293702580953566539e+01,1.349494000000000504e+01,1.321598290476783433e+01,2.789570952321698272e-01,1.207052338262283087e+01,1.767858062301032263e+01,1.470640080112663739e+01,2.067722774833733457e+00
3.400000000000000244e-01,1.527490682327415961e+01,1.586602000000000956e+01,1.557046341163708547e+01,2.955565883629249768e-01,1.450136973786069561e+01,1.990311689397715966e+01,1.710699732636757631e+01,2.137390885997453527e+00
3.500000000000000333e-01,1.780727268757843262e+01,1.823710000000001230e+01,1.802218634378922246e+01,2.149136562107898385e-01,1.735628797559635217e+01,2.247000000000001663e+01,1.967292742939001826e+01,2.248817011067991256e+00
3.599999999999999867e-01,2.041871544701924179e+01,2.086002000000000223e+01,2.063936772350962201e+01,2.206522764903802170e-01,2.021138542816849792e+01,2.573999999999999844e+01,2.244340741978849962e+01,2.338700694324650886e+00
3.699999999999999956e-01,2.311242080877217475e+01,2.348294000000000281e+01,2.329768040438608878e+01,1.852595956139140299e-01,2.321065999999999718e+01,2.910000000000000142e+01,2.534432614350561863e+01,2.524875203886373765e+00
