# x_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,2.101446484669791204e+01,2.170877322714372326e+01,2.146515381621297536e+01,1.947582401530338903e-01,2.041178731961243642e+01,2.359515320663400928e+01,2.191141163387321811e+01,9.802162435008562325e-01
2.999999999999999889e-02,1.932755786800273867e+01,1.972831270319919739e+01,1.954023547570022856e+01,1.169321423740562610e-01,1.878256096757159810e+01,2.151337039158023501e+01,1.993260958445001307e+01,8.563372652492826642e-01
4.000000000000000083e-02,1.761508206392908704e+01,1.781402289942360539e+01,1.769102992336810587e+01,7.718457536708918376e-02,1.719899954108059603e+01,1.953063177645183757e+01,1.796833862722650821e+01,6.753115365462212250e-01
5.000000000000000278e-02,1.566033525327095255e+01,1.609637544667569031e+01,1.592282609412637839e+01,1.222336307987396814e-01,1.564142601285116108e+01,1.764669340366817707e+01,1.611295129781805002e+01,5.888960133924102669e-01
5.999999999999999778e-02,1.422786335634935462e+01,1.438598633982604014e+01,1.429882531453651850e+01,5.479034761023861277e-02,1.416591170368766228e+01,1.586945752550127153e+01,1.449501738288179276e+01,5.110530425118194886e-01
7.000000000000000666e-02,1.257992997286141801e+01,1.289218512593799204e+01,1.278958272201749935e+01,9.745930288867230007e-02,1.268060288457763107e+01,1.420652567531690558e+01,1.300754117736738280e+01,4.680897176444520635e-01
8.000000000000000167e-02,1.089302300854799732e+01,1.148252806947193605e+01,1.133445167321442426e+01,1.762474983974153531e-01,1.123788516241108937e+01,1.266429861739176133e+01,1.157629362698690656e+01,4.417228619933761813e-01
8.999999999999999667e-02,9.805576569741747406e+00,1.016655794383041211e+01,1.005098867002436158e+01,1.071053347368017550e-01,1.001139339042937060e+01,1.124757648631526763e+01,1.025586135266146570e+01,3.713704087177818747e-01
1.000000000000000056e-01,8.664210122342039355e+00,9.056182053032751256e+00,8.897601938998615623e+00,1.272292564519909297e-01,8.603885239403167517e+00,9.958508980242774200e+00,9.001803885612437384e+00,3.493071262449735648e-01
1.100000000000000006e-01,7.805582862923485798e+00,8.230144212011694549e+00,7.912083583824868427e+00,1.317797162687651402e-01,7.740040374571698578e+00,8.796975544685500026e+00,7.954322406708979720e+00,3.000873953298523467e-01
1.199999999999999956e-01,6.891010852464453329e+00,7.442428033146687660e+00,7.057347639494441438e+00,1.561328954545135317e-01,6.540030580968257290e+00,7.760355521333800688e+00,7.021690995949887437e+00,2.943791562279127749e-01
1.300000000000000044e-01,6.088982967461582518e+00,6.654711854281700312e+00,6.241504048261883320e+00,1.678332455287497860e-01,5.970023264425170950e+00,6.843968247220824530e+00,6.213792093028646768e+00,2.410514846182124082e-01
1.400000000000000133e-01,5.401204159180812425e+00,5.866995675416737832e+00,5.522403116842291126e+00,1.369028685699346382e-01,5.376611187103800482e+00,6.041503119935964783e+00,5.515619739917545061e+00,1.949098321428887892e-01
1.499999999999999944e-01,4.671134619021765744e+00,5.079279496551817985e+00,4.870050255147439167e+00,1.144211597093972438e-01,4.619414893875120498e+00,5.345379626697816633e+00,4.890001314534098142e+00,1.964077477367483227e-01
1.600000000000000033e-01,4.288516799222145792e+00,4.411594538906024709e+00,4.327677142978412661e+00,4.369884426263217353e-02,4.232393285426713447e+00,4.747287346645688189e+00,4.366866921868472140e+00,1.558348036708725459e-01
1.700000000000000122e-01,3.724493978260574156e+00,3.995835764694469106e+00,3.903587083769699984e+00,7.931478136013518643e-02,3.700013513488836114e+00,4.238675933998409917e+00,3.946475115192257022e+00,1.595844073763346971e-01
1.799999999999999933e-01,3.492631150889822234e+00,3.628524208815568031e+00,3.557837540664642528e+00,4.567334483232429743e-02,3.416555452257008074e+00,3.816527381130977670e+00,3.581293092810129419e+00,1.386031745211190325e-01
1.900000000000000022e-01,3.176751448002838707e+00,3.472942671947147453e+00,3.277397700254730761e+00,8.291691746393155260e-02,3.163106376795738139e+00,3.591500534438149206e+00,3.305548850874606703e+00,1.333728458172628861e-01
2.000000000000000111e-01,2.908136438174412586e+00,3.347167019909445429e+00,3.041315497176058535e+00,1.277972817771513281e-01,2.893590604617751971e+00,3.414489784104595582e+00,3.057770294448025172e+00,1.492415639194788757e-01
2.099999999999999922e-01,2.777397777900113329e+00,3.221391368734261018e+00,2.875142524863029347e+00,1.335695398124237265e-01,2.723435285575812603e+00,3.258342248126386842e+00,2.884934618994598576e+00,1.463504359613546357e-01
2.200000000000000011e-01,2.660434375001528906e+00,3.095615718526724347e+00,2.757460190105566422e+00,1.313944124008771808e-01,2.600989645330916478e+00,3.173320291653193070e+00,2.756945574086141271e+00,1.545708825482434157e-01
2.300000000000000100e-01,2.579865283895242722e+00,2.969840069409780181e+00,2.654120730263997530e+00,1.220243608524549939e-01,2.476137567907061410e+00,3.087034753717758928e+00,2.663201509642872278e+00,1.585412061368627890e-01
2.399999999999999911e-01,2.534602840423426873e+00,2.844064421528118558e+00,2.593018252648612965e+00,9.750276027158349956e-02,2.443573398793891460e+00,3.047457731085421173e+00,2.612339850496411930e+00,1.583970426025074207e-01
2.500000000000000000e-01,2.480840000000000156e+00,2.718288775053208539e+00,2.551362684753803567e+00,7.065463424492332556e-02,2.420069288514756334e+00,3.017826652127556297e+00,2.581703531753797964e+00,1.622518356123979488e-01
2.600000000000000089e-01,2.516178179545216498e+00,2.843855504199884088e+00,2.585049895234440953e+00,1.013129262871692027e-01,2.431450157324832606e+00,3.014597901535858160e+00,2.596188236168338825e+00,1.565854616439452118e-01
2.700000000000000178e-01,2.580891640987946989e+00,2.969422234496164936e+00,2.657081636276792835e+00,1.215786302601428864e-01,2.485192042767750298e+00,3.049839513425494530e+00,2.649131266080796188e+00,1.546519743440933903e-01
2.800000000000000266e-01,2.649959730550585313e+00,3.094988965802128789e+00,2.738938255713058822e+00,1.386060093556012174e-01,2.539055814922295706e+00,3.087375846056477968e+00,2.711749345122458354e+00,1.492647877447986493e-01
2.899999999999999800e-01,2.777700596447286507e+00,3.220555697999675004e+00,2.875478889466757337e+00,1.336086500458323334e-01,2.628469153268563563e+00,3.220901652030961237e+00,2.850754624557938932e+00,1.539957941739231451e-01
2.999999999999999889e-01,2.908136438174412586e+00,3.346122430988433205e+00,3.040577707489230175e+00,1.253885086108905145e-01,2.759111520933521966e+00,3.357142453516973379e+00,3.006906102863214247e+00,1.539792796171597367e-01
3.099999999999999978e-01,3.207609932076886938e+00,3.471689164682549400e+00,3.280055563461185208e+00,7.619232829418898234e-02,2.936783041740558708e+00,3.565708199551609336e+00,3.255762733480801696e+00,1.621490628504889120e-01
3.200000000000000067e-01,3.492634170923654136e+00,3.627162048166807207e+00,3.576314650487034452e+00,4.032364881168122583e-02,3.167193945399257693e+00,3.843156346308681304e+00,3.556880932295969355e+00,1.720524197184527537e-01
