# x_hat,full-stokes min,full-stokes max,full-stokes mean,higher-order min,higher-order max,higher-order mean
1.300000000000000044e-01,1.042030613932359451e+01,1.086660039919040166e+01,1.067675237711741865e+01,9.989715191417378293e+00,1.133583700324965093e+01,1.058377578953369813e+01
1.400000000000000133e-01,9.595882194336336823e+00,9.920017426814913719e+00,9.800634973836576336e+00,9.234766055459711964e+00,1.040278868861614470e+01,9.730961104780542215e+00
1.499999999999999944e-01,8.860941148076754814e+00,9.172105069554950418e+00,8.988778218014784827e+00,8.574965394204264513e+00,9.730463760787561256e+00,8.937944118293700058e+00
1.600000000000000033e-01,8.005775591581100414e+00,8.429366513814507300e+00,8.271679959694724360e+00,7.949090714233557620e+00,9.057733229125267016e+00,8.240361083480308935e+00
1.700000000000000122e-01,7.366656839425985481e+00,7.894899278156569444e+00,7.676141339175716283e+00,7.381839329323411469e+00,8.385073046789754514e+00,7.674611734355930359e+00
1.799999999999999933e-01,6.942818332143726678e+00,7.360436621153818137e+00,7.177542672575361493e+00,6.871896780773592006e+00,7.825001597443927537e+00,7.147203396245435769e+00
1.900000000000000022e-01,6.506700663835141896e+00,6.978923572921135410e+00,6.759436141304755452e+00,6.427464208224911602e+00,7.265006882309196889e+00,6.713914389239333147e+00
2.000000000000000111e-01,6.135430188703952403e+00,6.785056949603821330e+00,6.395999943641387908e+00,6.049191304973459360e+00,6.705029828419855953e+00,6.316645478615091847e+00
2.099999999999999922e-01,5.809250883520800990e+00,6.591190333689172398e+00,6.127243028040150641e+00,5.801348357826777935e+00,6.465145224801820412e+00,6.043197203287085983e+00
2.200000000000000011e-01,5.568883879174808094e+00,6.397323725850184495e+00,5.930544484322783028e+00,5.578494883624474987e+00,6.332496210425106575e+00,5.858339907871465968e+00
2.300000000000000100e-01,5.437711664034945436e+00,6.203457126843987979e+00,5.768237194140547253e+00,5.430723706146534546e+00,6.228919698296276231e+00,5.706859286265352438e+00
2.399999999999999911e-01,5.359374718457838860e+00,6.009590537525406617e+00,5.662381089582252613e+00,5.379006827152690740e+00,6.183579171945029707e+00,5.631347905841854740e+00
2.500000000000000000e-01,5.336367128507827573e+00,5.815723958863245890e+00,5.592565300851966903e+00,5.334721148705924954e+00,6.150680248054301025e+00,5.586377691160680392e+00
2.600000000000000089e-01,5.370238333487314719e+00,6.010073730222893928e+00,5.654749190001420622e+00,5.308950000000000280e+00,6.147143457049776494e+00,5.596446496082737809e+00
2.700000000000000178e-01,5.467961161398471326e+00,6.204423506339254324e+00,5.772236351411410560e+00,5.335365783227699055e+00,6.187981134329802124e+00,5.675735824519449579e+00
2.800000000000000266e-01,5.619442593736828861e+00,6.398773286778899561e+00,5.912592902365043201e+00,5.411913388301266004e+00,6.231223010772135140e+00,5.804194704562922524e+00
2.899999999999999800e-01,5.871839029606230831e+00,6.593123071159509685e+00,6.131446376199020776e+00,5.549301165609414888e+00,6.465145224801820412e+00,6.010161714690200441e+00
2.999999999999999889e-01,6.175587498439965017e+00,6.787472859142553716e+00,6.385813556795080892e+00,5.755726721957747927e+00,6.705029828419855953e+00,6.239149338201531947e+00
3.099999999999999978e-01,6.530443114758159417e+00,6.981822650427193189e+00,6.751505629379630946e+00,6.037247761190272399e+00,7.265006882309197778e+00,6.602576911947271476e+00
3.200000000000000067e-01,6.919765554439143429e+00,7.360436621153818137e+00,7.178445558459515041e+00,6.398592388578888901e+00,7.825001597443925760e+00,7.042513284103409710e+00
3.300000000000000155e-01,7.369301948327989571e+00,7.894899278156571221e+00,7.637899686550487566e+00,6.843429347519333739e+00,8.385073046789754514e+00,7.548764815806518591e+00
3.400000000000000244e-01,8.011880536079035053e+00,8.429366513814509076e+00,8.268042485406690290e+00,7.374518013113483761e+00,9.057733229125267016e+00,8.154074685271735845e+00
3.500000000000000333e-01,8.794104990981741921e+00,9.165362350990758245e+00,8.979221146059229497e+00,7.993558226747741635e+00,9.730463760787563032e+00,8.805727937344840939e+00
3.599999999999999867e-01,9.623299497579575146e+00,9.915148000227995695e+00,9.812720750680313131e+00,8.701120095361471130e+00,1.040278868861614292e+01,9.558590340956872211e+00
3.699999999999999956e-01,1.048595735266852991e+01,1.086660039919040166e+01,1.070115172370464407e+01,9.496123806216784757e+00,1.107516252702415116e+01,1.039404289121719849e+01
3.800000000000000044e-01,1.134614434120420512e+01,1.181816043205295941e+01,1.161812972339736483e+01,1.037587946267732164e+01,1.229204677378380595e+01,1.134541360648249864e+01
3.900000000000000133e-01,1.231568498927319588e+01,1.276980403736082792e+01,1.260546989206624424e+01,1.133583700324965093e+01,1.350707479228735330e+01,1.237676733699768405e+01
