# x_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,1.613736452611208350e+01,1.646218030602634030e+01,1.620340606458587374e+01,1.159154765260070746e-01,1.174767328616074913e+01,1.621971378951597842e+01,1.513504583177597596e+01,1.400841587265559074e+00
2.999999999999999889e-02,1.612628449411359099e+01,1.642633302154437303e+01,1.618785409844544176e+01,1.068436285061036273e-01,1.173857879859589204e+01,1.620237056049685265e+01,1.512554520700967409e+01,1.398759871015458955e+00
4.000000000000000083e-02,1.611520446211984492e+01,1.639088271651813145e+01,1.617235045960782358e+01,9.792793582283863818e-02,1.172960536756634831e+01,1.618500757220678565e+01,1.511532468360254988e+01,1.396817650601343663e+00
5.000000000000000278e-02,1.610412443013087369e+01,1.635661417018759067e+01,1.615697885962869762e+01,8.947882321167817399e-02,1.172066680347260181e+01,1.616746011626240431e+01,1.510503517671447682e+01,1.394785063597107744e+00
5.999999999999999778e-02,1.609302439201703905e+01,1.632233855305651815e+01,1.614158996318781192e+01,8.103592398717299194e-02,1.171169872929247546e+01,1.614995483029150236e+01,1.509483447800735867e+01,1.392663819280858251e+00
7.000000000000000666e-02,1.608192435391261910e+01,1.628975025677015154e+01,1.612638888524638148e+01,7.325852353437425912e-02,1.170272144855866969e+01,1.613255123452498552e+01,1.508459868957663197e+01,1.390473374564801690e+00
8.000000000000000167e-02,1.607082431581762449e+01,1.625772717672156631e+01,1.611124639200542319e+01,6.570674835803463898e-02,1.169379711935400046e+01,1.611512573254379532e+01,1.507433274615237373e+01,1.388241210197382225e+00
8.999999999999999667e-02,1.605972427773208011e+01,1.622643574404459343e+01,1.609620242605491924e+01,5.843768584213390738e-02,1.168485883496370725e+01,1.609808022138479089e+01,1.506416376370862764e+01,1.386012047891552523e+00
1.000000000000000056e-01,1.604862423965600726e+01,1.619733096685412121e+01,1.608152931160496379e+01,5.197953493432013600e-02,1.167594511381178357e+01,1.608147541430204441e+01,1.505405249905931697e+01,1.383782407329982700e+00
1.100000000000000006e-01,1.603802420066190493e+01,1.616822119964309579e+01,1.606702436623379882e+01,4.543348055721280893e-02,1.166730206014717020e+01,1.606493756608538348e+01,1.504390906465556377e+01,1.381300779815295865e+00
1.199999999999999956e-01,1.602742416168185358e+01,1.614179520002221935e+01,1.605319111780639574e+01,3.979580170632689845e-02,1.165868351106285417e+01,1.605003870520987874e+01,1.503410732374427816e+01,1.379003410407959151e+00
1.300000000000000044e-01,1.601682412271587808e+01,1.611626133765875224e+01,1.603957623588354764e+01,3.446243793299273717e-02,1.165020076734110610e+01,1.603511850745194423e+01,1.502450022662431373e+01,1.376643830602969798e+00
1.400000000000000133e-01,1.600622408376401395e+01,1.609177552486845286e+01,1.602657756140078149e+01,2.934967262457476370e-02,1.164233880426532153e+01,1.602159229065820156e+01,1.501538495626414083e+01,1.374279183883887701e+00
1.499999999999999944e-01,1.599562404482628253e+01,1.607044130012116412e+01,1.601429748870982550e+01,2.533946894786074516e-02,1.163449434013674022e+01,1.600905355741119251e+01,1.500664200118532854e+01,1.372087903390373897e+00
1.600000000000000033e-01,1.598784401546528144e+01,1.604911061296776609e+01,1.600294333190024432e+01,2.082168129583630151e-02,1.162746883950510579e+01,1.599697651852297220e+01,1.499860393377546686e+01,1.369925949935282938e+00
1.700000000000000122e-01,1.598006398612345969e+01,1.603135618527805306e+01,1.599283698209367621e+01,1.738446396598027771e-02,1.162086410587621543e+01,1.598727564283919911e+01,1.499136020805971548e+01,1.368056419514742439e+00
1.799999999999999933e-01,1.597228395680083857e+01,1.601479214573958387e+01,1.598307225256315611e+01,1.433102845393060751e-02,1.161434835622864448e+01,1.597756267278688824e+01,1.498430755912786339e+01,1.366135932261795416e+00
1.900000000000000022e-01,1.596450392749745539e+01,1.599953676031049632e+01,1.597458644161134522e+01,1.140178829800257525e-02,1.160948728053108425e+01,1.596993633203521945e+01,1.497835811205339418e+01,1.364122412669525053e+00
2.000000000000000111e-01,1.595672389821333326e+01,1.598821251408750399e+01,1.596705906906000472e+01,9.868599717364989060e-03,1.160459690142461042e+01,1.596317344891882328e+01,1.497275454231217573e+01,1.362265141383099509e+00
2.099999999999999922e-01,1.595386388745061623e+01,1.597688590359063809e+01,1.596110844149171548e+01,7.302033532047427257e-03,1.160072678801689428e+01,1.595722723627375217e+01,1.496995233743380282e+01,1.361564770464359420e+00
2.200000000000000011e-01,1.595100387670944109e+01,1.596974134500810294e+01,1.595678550785526539e+01,5.981148878479324374e-03,1.159793063498456434e+01,1.595345690783913994e+01,1.496805534549511840e+01,1.360916316781234592e+00
2.300000000000000100e-01,1.594814386598982203e+01,1.596399092596792357e+01,1.595291934459216066e+01,5.088591511747777782e-03,1.159514513250720391e+01,1.594971775179184093e+01,1.496657218629022879e+01,1.360321493056759090e+00
2.399999999999999911e-01,1.594528385529176973e+01,1.595967828158842572e+01,1.595082394433149808e+01,4.319232112318007431e-03,1.159446957166630376e+01,1.594844212042698928e+01,1.496632207501203382e+01,1.359549164765213591e+00
2.500000000000000000e-01,1.594242384461529127e+01,1.595967857127976686e+01,1.594976178950682311e+01,5.068184845912900374e-03,1.159396648878114888e+01,1.594766536227071541e+01,1.496659424736899879e+01,1.358883202422995318e+00
2.600000000000000089e-01,1.594528385529176973e+01,1.595967827888324386e+01,1.595057969872974013e+01,4.372857066689154158e-03,1.159429928709969104e+01,1.594808081304028846e+01,1.496807178494653989e+01,1.358569141264839519e+00
2.700000000000000178e-01,1.594814386598982203e+01,1.596399144736169973e+01,1.595315888233515444e+01,5.027651057227234405e-03,1.159613010331610283e+01,1.595029610970666489e+01,1.497061963303456089e+01,1.358219327232461859e+00
2.800000000000000266e-01,1.595100387670944286e+01,1.596974185843324534e+01,1.595619205495445136e+01,6.183409878066779830e-03,1.159796301468971969e+01,1.595251768719936081e+01,1.497337008474589304e+01,1.357881385603475266e+00
2.899999999999999800e-01,1.595386388745061623e+01,1.597688544551556511e+01,1.596097397141164009e+01,7.352013524277905936e-03,1.160155045200376911e+01,1.595757687045987616e+01,1.497746769806162170e+01,1.357597257837021898e+00
2.999999999999999889e-01,1.595672389821333681e+01,1.598821023628618221e+01,1.596673898594336727e+01,9.964422651487482574e-03,1.160559068302141839e+01,1.596282165817149057e+01,1.498189979007287498e+01,1.357234743710466152e+00
3.099999999999999978e-01,1.596450392749745895e+01,1.599953630726146336e+01,1.597415080180843283e+01,1.155013484209270296e-02,1.161004648032130859e+01,1.596961799591627873e+01,1.498908392134547007e+01,1.358368467288337600e+00
3.200000000000000067e-01,1.597228395680084390e+01,1.601478986424806905e+01,1.598303445322055438e+01,1.434700378974824303e-02,1.161599371649715096e+01,1.597789277450159418e+01,1.499708475714313138e+01,1.359338056180916965e+00
