x,y,z mean,z stdev,z min,z max,vs_x stdev,vs_x min,vs_x max,vs_y mean,vs_y stdev,vs_y min,vs_y max,vs_z mean,vs_z stdev,vs_z min,vs_z max
-50.000000,27.500000,-1.613366,1.117650,-2.735000,0.131404,148.566989,49.622517,98.850050,198.567029,-0.450059,0.152335,-0.688258,-0.275000,-0.037702,0.077496,-0.171688,0.012650
-50.000000,30.000000,-1.205585,1.166346,-2.360000,0.596631,148.701094,49.662883,98.935200,198.775335,-0.416860,0.132102,-0.599403,-0.260000,-0.038190,0.076144,-0.169891,0.010000
-50.000000,32.500000,-0.850915,1.205872,-2.055000,0.995436,148.813727,49.698425,99.005350,198.946425,-0.364836,0.112537,-0.511071,-0.235000,-0.037760,0.075385,-0.168100,0.011550
-50.000000,35.000000,-0.529168,1.216496,-1.750000,1.328665,148.913673,49.729653,99.075500,199.083674,-0.313273,0.094365,-0.423278,-0.210000,-0.037331,0.074760,-0.166526,0.013100
-50.000000,37.500000,-0.284968,1.239297,-1.515000,1.599388,148.992338,49.757209,99.125700,199.190954,-0.264652,0.082827,-0.355000,-0.180000,-0.037388,0.073868,-0.164994,0.013600
-50.000000,40.000000,-0.070015,1.236264,-1.280000,1.811944,149.061218,49.781190,99.175900,199.271645,-0.218350,0.075468,-0.320000,-0.141605,-0.037499,0.073129,-0.163757,0.014100
-50.000000,42.500000,0.104790,1.224296,-1.125000,1.971058,149.114032,49.805284,99.205850,199.330519,-0.171930,0.067940,-0.275000,-0.102568,-0.036819,0.072906,-0.162732,0.014050
-50.000000,45.000000,0.254404,1.191105,-0.970000,2.081201,149.159926,49.826191,99.235800,199.369258,-0.127798,0.062530,-0.230000,-0.066508,-0.036211,0.072797,-0.161968,0.014000
-50.000000,47.500000,0.323730,1.187685,-0.895000,2.146001,149.176477,49.830438,99.250800,199.390851,-0.073275,0.040130,-0.140000,-0.032679,-0.035596,0.072895,-0.161485,0.015050
-50.000000,50.000000,0.370587,1.165105,-0.820000,2.167603,149.188611,49.832971,99.265800,199.400238,-0.020014,0.021200,-0.050000,-0.000013,-0.035093,0.073136,-0.161354,0.016100
-47.500000,-50.000000,0.699671,1.511374,-1.005000,2.456796,149.308990,49.993551,99.235850,199.983890,0.022989,0.024443,0.000007,0.060000,-0.045939,0.090894,-0.203115,0.014800
-47.500000,-47.500000,0.643495,1.543793,-1.080000,2.434565,149.290785,49.984682,99.220850,199.974435,0.064856,0.027914,0.033814,0.110000,-0.046744,0.090439,-0.203206,0.012450
-47.500000,-45.000000,0.575851,1.549134,-1.155000,2.376187,149.271892,49.979525,99.205850,199.946389,0.119241,0.050687,0.068594,0.200000,-0.047345,0.090357,-0.203688,0.011400
-47.500000,-42.500000,0.426510,1.587718,-1.310000,2.272217,149.227416,49.960149,99.175900,199.913330,0.163318,0.057053,0.105059,0.245000,-0.047937,0.090466,-0.204441,0.011450
-47.500000,-40.000000,0.279896,1.579996,-1.460000,2.123544,149.175784,49.941746,99.140700,199.853257,0.208684,0.065405,0.143797,0.290000,-0.047235,0.091467,-0.205488,0.012250
-47.500000,-37.500000,0.065390,1.588536,-1.680000,1.925644,149.118780,49.930245,99.090750,199.771631,0.255987,0.078733,0.170000,0.340000,-0.047737,0.092073,-0.206924,0.014350
-47.500000,-35.000000,-0.172604,1.570515,-1.915000,1.679979,149.040982,49.904888,99.040550,199.670443,0.302229,0.089143,0.200000,0.405290,-0.047637,0.092949,-0.208401,0.013850
-47.500000,-32.500000,-0.484850,1.569534,-2.220000,1.381045,148.941999,49.875415,98.970400,199.538626,0.350241,0.104730,0.225000,0.482344,-0.048061,0.093632,-0.210079,0.012300
-47.500000,-30.000000,-0.809433,1.523400,-2.510000,1.023413,148.830523,49.838767,98.905250,199.377679,0.387162,0.118379,0.245000,0.559679,-0.048563,0.094395,-0.211964,0.010250
-47.500000,-27.500000,-1.163461,1.454690,-2.840000,0.612583,148.709405,49.808111,98.825100,199.185066,0.419236,0.136883,0.260000,0.634550,-0.047619,0.096098,-0.213883,0.014450
-47.500000,-25.000000,-1.579465,1.395768,-3.215000,0.154202,148.567812,49.767788,98.739950,198.962143,0.444366,0.156933,0.275000,0.701263,-0.047022,0.097492,-0.215648,0.017100
-47.500000,-22.500000,-2.011243,1.311976,-3.620000,-0.352562,148.421991,49.735950,98.644800,198.707856,0.463106,0.176450,0.285000,0.754639,-0.047170,0.098316,-0.217266,0.016850
-47.500000,-20.000000,-2.445548,1.202075,-3.980000,-0.889796,148.268463,49.700300,98.554650,198.430519,0.472818,0.191550,0.285000,0.788214,-0.047127,0.099173,-0.218752,0.016650
-47.500000,-17.500000,-2.907520,1.104969,-4.385000,-1.450777,148.108816,49.665830,98.427725,198.133289,0.463145,0.205397,0.270000,0.798327,-0.046868,0.100010,-0.219968,0.016950
-47.500000,-15.000000,-3.332713,0.990829,-4.730000,-2.007409,147.943143,49.624587,98.268433,197.830189,0.441513,0.207609,0.260000,0.778162,-0.046684,0.100597,-0.220846,0.016150
-47.500000,-12.500000,-3.714171,0.882997,-5.020000,-2.537258,147.795610,49.594507,98.113247,197.535542,0.402731,0.199811,0.230000,0.723944,-0.045616,0.101558,-0.221431,0.018000
-47.500000,-10.000000,-4.095103,0.838262,-5.370000,-3.022341,147.662520,49.573329,97.969435,197.262096,0.343848,0.183195,0.175000,0.634639,-0.045428,0.101846,-0.221787,0.016150
-47.500000,-7.500000,-4.390993,0.800209,-5.605000,-3.433604,147.556036,49.556145,97.845950,197.199450,0.271674,0.152525,0.130000,0.511753,-0.045849,0.101736,-0.221951,0.015956
-47.500000,-5.000000,-4.625116,0.787694,-5.795000,-3.748533,147.461578,49.537098,97.750561,197.154500,0.191457,0.106300,0.090000,0.358880,-0.045535,0.101916,-0.221983,0.017494
-47.500000,-2.500000,-4.748193,0.777593,-5.865000,-3.943279,147.407277,49.522784,97.690770,197.129550,0.100688,0.053613,0.050000,0.185732,-0.045874,0.101739,-0.221973,0.018478
-47.500000,0.000000,-4.816983,0.788154,-5.950000,-4.010563,147.383383,49.519334,97.670182,197.114300,-0.000150,0.000174,-0.000426,0.000000,-0.043734,0.102924,-0.221954,0.018820
-47.500000,2.500000,-4.748194,0.777592,-5.865000,-3.943281,147.407250,49.522757,97.690769,197.129550,-0.100684,0.053608,-0.185719,-0.050000,-0.045872,0.101736,-0.221965,0.018478
-47.500000,5.000000,-4.625043,0.787776,-5.795000,-3.748241,147.461622,49.537142,97.750561,197.154500,-0.191461,0.106307,-0.358898,-0.090000,-0.045531,0.101910,-0.221970,0.017494
-47.500000,7.500000,-4.391806,0.799661,-5.605000,-3.435611,147.555722,49.556015,97.845581,197.199450,-0.271514,0.152342,-0.511308,-0.130000,-0.045845,0.101733,-0.221943,0.015962
-47.500000,10.000000,-4.095148,0.838205,-5.370000,-3.022519,147.662524,49.573329,97.969442,197.262105,-0.343854,0.183204,-0.634662,-0.175000,-0.045432,0.101852,-0.221802,0.016150
-47.500000,12.500000,-3.715296,0.881932,-5.020000,-2.540242,147.795170,49.594280,98.112820,197.534210,-0.402661,0.199702,-0.723674,-0.230000,-0.045610,0.101552,-0.221415,0.018000
-47.500000,15.000000,-3.331390,0.992242,-4.730000,-2.003588,147.943612,49.624859,98.268831,197.831667,-0.441453,0.207538,-0.777986,-0.260000,-0.046677,0.100582,-0.220815,0.016150
-47.500000,17.500000,-2.872334,1.075796,-4.325000,-1.450033,148.105140,49.659717,98.427723,198.133636,-0.463219,0.205213,-0.798624,-0.275000,-0.047074,0.099859,-0.219942,0.015850
-47.500000,20.000000,-2.446544,1.200987,-3.980000,-0.892650,148.268044,49.700003,98.554650,198.429093,-0.472991,0.191765,-0.788747,-0.285000,-0.047130,0.099178,-0.218765,0.016650
-47.500000,22.500000,-2.011327,1.311871,-3.620000,-0.352896,148.422056,49.736019,98.644800,198.708121,-0.462992,0.176262,-0.754183,-0.285000,-0.047176,0.098326,-0.217290,0.016850
-47.500000,25.000000,-1.579867,1.395356,-3.215000,0.153245,148.567793,49.767824,98.739950,198.962176,-0.444391,0.156894,-0.701194,-0.275000,-0.047009,0.097469,-0.215595,0.017100
-47.500000,27.500000,-1.198922,1.488816,-2.885000,0.615309,148.700614,49.801906,98.820100,199.184869,-0.415533,0.137167,-0.634890,-0.260000,-0.048058,0.095766,-0.213790,0.012900
-47.500000,30.000000,-0.809487,1.523334,-2.510000,1.023195,148.830706,49.838948,98.905250,199.378402,-0.387376,0.118691,-0.560536,-0.245000,-0.048579,0.094422,-0.212028,0.010250
-47.500000,32.500000,-0.467785,1.553046,-2.205000,1.379403,148.940615,49.871553,98.975400,199.538120,-0.338734,0.100416,-0.481229,-0.220000,-0.048149,0.093600,-0.210126,0.011800
-47.500000,35.000000,-0.172229,1.570958,-1.915000,1.681486,149.040903,49.904811,99.040550,199.670134,-0.302056,0.088973,-0.404659,-0.200000,-0.047614,0.092911,-0.208314,0.013850
-47.500000,37.500000,0.068409,1.587838,-1.695000,1.927718,149.106757,49.918624,99.090500,199.773905,-0.253728,0.073797,-0.329837,-0.175000,-0.047122,0.092283,-0.206815,0.011750
-47.500000,40.000000,0.279733,1.579805,-1.460000,2.122892,149.175455,49.941235,99.140700,199.851590,-0.208854,0.065530,-0.290000,-0.143792,-0.047259,0.091503,-0.205576,0.012250
-47.500000,42.500000,0.452674,1.564515,-1.305000,2.271958,149.229134,49.964777,99.170650,199.911193,-0.163121,0.056969,-0.245000,-0.105058,-0.046584,0.091259,-0.204492,0.012200
-47.500000,45.000000,0.575570,1.548807,-1.155000,2.375062,149.273943,49.981205,99.205850,199.953798,-0.119129,0.050673,-0.200000,-0.068612,-0.047337,0.090338,-0.203647,0.011400
-47.500000,47.500000,0.644301,1.544731,-1.080000,2.437812,149.288863,49.983028,99.220850,199.967332,-0.065297,0.027848,-0.110000,-0.033850,-0.046737,0.090429,-0.203182,0.012450
-47.500000,50.000000,0.699671,1.511374,-1.005000,2.456796,149.309492,49.993783,99.235850,199.985348,-0.022068,0.025273,-0.060000,0.001715,-0.045939,0.090894,-0.203115,0.014800
-45.000000,-50.000000,1.069720,2.248348,-1.190000,4.491235,149.454125,50.183048,99.205900,200.672014,0.025044,0.028684,-0.000002,0.070000,-0.039857,0.079289,-0.176949,0.013500
-45.000000,-47.500000,1.013707,2.278197,-1.265000,4.470198,149.434621,50.173640,99.190900,200.658797,0.068801,0.031609,0.034522,0.120000,-0.040659,0.078838,-0.177043,0.011150
-45.000000,-45.000000,0.937106,2.291066,-1.340000,4.412259,149.412019,50.164824,99.175900,200.640625,0.112915,0.040535,0.069699,0.170000,-0.041443,0.078352,-0.177044,0.008800
-45.000000,-42.500000,0.814922,2.308049,-1.490000,4.313884,149.366092,50.148225,99.140700,200.595335,0.157885,0.050089,0.106164,0.215000,-0.040488,0.078945,-0.177135,0.009600
-45.000000,-40.000000,0.670075,2.305863,-1.640000,4.173648,149.315434,50.131069,99.105500,200.539584,0.203707,0.061702,0.140000,0.270555,-0.039494,0.079496,-0.177086,0.010400
-45.000000,-37.500000,0.459000,2.320874,-1.860000,3.989756,149.258968,50.121377,99.055550,200.462696,0.250782,0.077440,0.165000,0.343970,-0.039640,0.079521,-0.177206,0.012500
-45.000000,-35.000000,0.223311,2.315411,-2.080000,3.761129,149.193213,50.108335,99.005600,200.360807,0.298514,0.094007,0.190000,0.418692,-0.039706,0.079505,-0.177116,0.014600
-45.000000,-32.500000,-0.064141,2.313048,-2.370000,3.485616,149.094551,50.077252,98.940450,200.236300,0.333772,0.107321,0.210000,0.492947,-0.039704,0.079310,-0.176898,0.012550
-45.000000,-30.000000,-0.376308,2.291005,-2.660000,3.166040,148.985473,50.042906,98.875300,200.084735,0.368370,0.124182,0.230000,0.565555,-0.039555,0.079002,-0.176303,0.010500
-45.000000,-27.500000,-0.715290,2.252362,-2.990000,2.799007,148.868031,50.015003,98.795150,199.905124,0.397587,0.143827,0.245000,0.633798,-0.037944,0.079611,-0.175644,0.014700
-45.000000,-25.000000,-1.075085,2.199848,-3.320000,2.395584,148.740590,49.984229,98.715000,199.700009,0.422884,0.161780,0.260000,0.691845,-0.036100,0.080002,-0.174341,0.018900
-45.000000,-22.500000,-1.469629,2.145036,-3.680000,1.951723,148.603269,49.955351,98.624850,199.468961,0.436815,0.180596,0.260000,0.736486,-0.035428,0.079595,-0.173010,0.018700
-45.000000,-20.000000,-1.874714,2.087011,-4.040000,1.491122,148.458760,49.924310,98.534700,199.219277,0.443066,0.192476,0.260000,0.761490,-0.034504,0.078914,-0.170953,0.018500
-45.000000,-17.500000,-2.269998,2.015054,-4.385000,1.012238,148.305888,49.888877,98.395301,198.954052,0.430517,0.203150,0.250000,0.764076,-0.033654,0.078177,-0.168891,0.017700
-45.000000,-15.000000,-2.660849,1.954297,-4.730000,0.542660,148.152287,49.853370,98.248152,198.687095,0.406885,0.203411,0.240000,0.738241,-0.032647,0.077273,-0.166362,0.016900
-45.000000,-12.500000,-3.008685,1.889913,-5.020000,0.096647,148.016693,49.828477,98.105678,198.427496,0.367451,0.194632,0.200000,0.681418,-0.030812,0.076830,-0.163732,0.018750
-45.000000,-10.000000,-3.332457,1.849324,-5.310000,-0.305457,147.889250,49.805952,97.975074,198.188628,0.315769,0.173126,0.160000,0.593250,-0.029017,0.076416,-0.161185,0.020600
-45.000000,-7.500000,-3.587437,1.807375,-5.500000,-0.643358,147.785861,49.785543,97.863665,197.986629,0.250059,0.141545,0.120000,0.475673,-0.028067,0.075578,-0.158889,0.018250
-45.000000,-5.000000,-3.796536,1.793699,-5.690000,-0.896771,147.700719,49.770248,97.778786,197.831092,0.174707,0.099769,0.080000,0.333288,-0.027301,0.074879,-0.156956,0.018551
