x,y,z mean,z stdev,z min,z max,vs_x stdev,vs_x min,vs_x max,vs_y mean,vs_y stdev,vs_y min,vs_y max,vs_z mean,vs_z stdev,vs_z min,vs_z max
-50.000000,27.500000,-2.467518,0.404966,-2.872484,-2.062551,149.422045,50.105783,99.316262,199.527828,-0.536395,0.135111,-0.671506,-0.401284,-0.007519,0.003087,-0.010606,-0.004431
-50.000000,30.000000,-2.010512,0.366063,-2.376575,-1.644449,149.566287,50.118928,99.447359,199.685215,-0.476652,0.123823,-0.600475,-0.352829,-0.008209,0.002014,-0.010222,-0.006195
-50.000000,32.500000,-1.607809,0.335156,-1.942965,-1.272653,149.689959,50.130234,99.559725,199.820192,-0.413302,0.110709,-0.524011,-0.302593,-0.008585,0.001092,-0.009677,-0.007493
-50.000000,35.000000,-1.262347,0.311818,-1.574165,-0.950529,149.792991,50.139667,99.653324,199.932658,-0.348728,0.096227,-0.444955,-0.252501,-0.008703,0.000330,-0.009033,-0.008374
-50.000000,37.500000,-0.981993,0.294867,-1.276860,-0.687126,149.873907,50.146974,99.726933,200.020882,-0.285209,0.080753,-0.365962,-0.204456,-0.008615,0.000275,-0.008890,-0.008340
-50.000000,40.000000,-0.756373,0.283170,-1.039543,-0.473203,149.937319,50.152673,99.784646,200.089992,-0.223703,0.064816,-0.288518,-0.158887,-0.008427,0.000742,-0.009169,-0.007685
-50.000000,42.500000,-0.583518,0.275308,-0.858826,-0.308209,149.984729,50.156878,99.827851,200.141606,-0.164710,0.048635,-0.213345,-0.116075,-0.008217,0.001087,-0.009305,-0.007130
-50.000000,45.000000,-0.461635,0.270109,-0.731745,-0.191526,150.017495,50.159691,99.857804,200.177186,-0.108155,0.032438,-0.140593,-0.075718,-0.008026,0.001344,-0.009370,-0.006681
-50.000000,47.500000,-0.388411,0.267880,-0.656291,-0.120530,150.036849,50.161425,99.875425,200.198274,-0.053493,0.016156,-0.069649,-0.037336,-0.007850,0.001522,-0.009372,-0.006328
-50.000000,50.000000,-0.363450,0.266458,-0.629908,-0.096992,150.043481,50.162051,99.881430,200.205532,0.000000,0.000000,0.000000,0.000000,-0.007890,0.001511,-0.009400,-0.006379
-47.500000,-50.000000,-0.441654,0.189628,-0.631281,-0.252026,150.011612,50.141921,99.869691,200.153532,0.000000,0.000000,0.000000,0.000000,-0.007434,0.000766,-0.008200,-0.006669
-47.500000,-47.500000,-0.465789,0.190169,-0.655959,-0.275620,150.004687,50.141053,99.863634,200.145740,0.052373,0.017137,0.035237,0.069510,-0.007518,0.000712,-0.008231,-0.006806
-47.500000,-45.000000,-0.537091,0.190397,-0.727488,-0.346694,149.984592,50.138670,99.845922,200.123263,0.105401,0.033950,0.071450,0.139351,-0.007484,0.000391,-0.007875,-0.007093
-47.500000,-42.500000,-0.655255,0.192750,-0.848004,-0.462505,149.951148,50.135174,99.815974,200.086322,0.159951,0.050587,0.109364,0.210539,-0.007651,0.000084,-0.007735,-0.007567
-47.500000,-40.000000,-0.821469,0.196630,-1.018098,-0.624839,149.902671,50.129591,99.773079,200.032262,0.216170,0.067147,0.149023,0.283317,-0.007907,0.000260,-0.008167,-0.007647
-47.500000,-37.500000,-1.036593,0.202510,-1.239103,-0.834084,149.838429,50.122075,99.716355,199.960504,0.273670,0.083225,0.190445,0.356894,-0.008055,0.000823,-0.008879,-0.007232
-47.500000,-35.000000,-1.303169,0.212621,-1.515791,-1.090548,149.757578,50.113059,99.644520,199.870637,0.332200,0.098425,0.233775,0.430626,-0.008014,0.001632,-0.009647,-0.006382
